Held	Helden	N;NFIN	N;DAT;PL	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
verstecken	versteckst	V;NFIN	V;IND;PRS;2;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
reifen	reifst	V;NFIN	V;IND;PRS;2;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
zählen	zähle	V;NFIN	V;SBJV;PRS;1;SG	C
setzen	setze	V;NFIN	V;SBJV;PRS;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
lösen	löst	V;NFIN	V;IND;PRS;2;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
heben	höben	V;NFIN	V;SBJV;PST;3;PL	C
dürfen	dürfte	V;NFIN	V;SBJV;PST;1;SG	C
speisen	speist	V;NFIN	V;IND;PRS;2;SG	C
begraben	begrabe	V;NFIN	V;SBJV;PRS;1;SG	C
blitzen	blitzet	V;NFIN	V;SBJV;PRS;2;PL	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
versuchen	versucht	V;NFIN	V;IND;PRS;2;PL	C
wehren	wehrt	V;NFIN	V;IND;PRS;2;PL	C
zürnen	zürne	V;NFIN	V;SBJV;PRS;1;SG	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
Held	Helden	N;NFIN	N;DAT;PL	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
wünschen	wünschst	V;NFIN	V;IND;PRS;2;SG	C
feiern	feierst	V;NFIN	V;IND;PRS;2;SG	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
lösen	löste	V;NFIN	V;SBJV;PST;1;SG	C
lösen	löst	V;NFIN	V;IND;PRS;2;SG	C
gedenken	gedächten	V;NFIN	V;SBJV;PST;3;PL	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
zählen	zähle	V;NFIN	V;SBJV;PRS;1;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
zürnen	zürne	V;NFIN	V;SBJV;PRS;1;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
lügen	lögen	V;NFIN	V;SBJV;PST;3;PL	C
speisen	speiste	V;NFIN	V;SBJV;PST;1;SG	C
grüßen	grüße	V;NFIN	V;SBJV;PRS;1;SG	C
grüßen	grüße	V;NFIN	V;SBJV;PRS;1;SG	C
speisen	speiste	V;NFIN	V;SBJV;PST;1;SG	C
grünen	grünte	V;NFIN	V;SBJV;PST;1;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
lösen	lösten	V;NFIN	V;SBJV;PST;3;PL	C
hadern	haderte	V;NFIN	V;SBJV;PST;1;SG	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
warnen	warnet	V;NFIN	V;SBJV;PRS;2;PL	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
malen	malt	V;NFIN	V;IND;PRS;2;PL	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
verdammen	verdammst	V;NFIN	V;IND;PRS;2;SG	C
bedürfen	bedürft	V;NFIN	V;IND;PRS;2;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
lösen	löst	V;NFIN	V;IND;PRS;2;SG	C
lösen	löst	V;NFIN	V;IND;PRS;2;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
pflügen	pflüget	V;NFIN	V;SBJV;PRS;2;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
besorgen	besorgt	V;NFIN	V;IND;PRS;2;PL	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
reifen	reifst	V;NFIN	V;IND;PRS;2;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
losen	loste	V;NFIN	V;SBJV;PST;1;SG	C
versuchen	versucht	V;NFIN	V;IND;PRS;2;PL	C
toben	tobet	V;NFIN	V;SBJV;PRS;2;PL	C
ernten	erntete	V;NFIN	V;SBJV;PST;1;SG	C
wehren	wehrt	V;NFIN	V;IND;PRS;2;PL	C
gedenken	gedenkst	V;NFIN	V;IND;PRS;2;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
legen	legt	V;NFIN	V;IND;PRS;2;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
lösen	löste	V;NFIN	V;SBJV;PST;1;SG	C
Haue	Haue	N;NFIN	N;NOM;SG	C
begraben	begrübe	V;NFIN	V;SBJV;PST;1;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
ernten	erntete	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
losen	losest	V;NFIN	V;SBJV;PRS;2;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
dürfen	dürfte	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
schneiden	schneidet	V;NFIN	V;SBJV;PRS;2;PL	C
dürfen	dürfte	V;NFIN	V;SBJV;PST;1;SG	C
verdammen	verdammst	V;NFIN	V;IND;PRS;2;SG	C
Kleinod	Kleinodien	N;NFIN	N;DAT;PL	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
hadern	haderte	V;NFIN	V;SBJV;PST;1;SG	C
reifen	reifst	V;NFIN	V;IND;PRS;2;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
Schal	Schal	N;NFIN	N;NOM;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
verdammen	verdammst	V;NFIN	V;IND;PRS;2;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
Fett	Fett	N;NFIN	N;NOM;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
besorgen	besorgest	V;NFIN	V;SBJV;PRS;2;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
heben	höben	V;NFIN	V;SBJV;PST;3;PL	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
erfreuen	erfreute	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
gedenken	gedenkst	V;NFIN	V;IND;PRS;2;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
gedenken	gedächten	V;NFIN	V;SBJV;PST;3;PL	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
begraben	begrabe	V;NFIN	V;SBJV;PRS;1;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
Kleinod	Kleinodien	N;NFIN	N;DAT;PL	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
Brief	Briefen	N;NFIN	N;DAT;PL	C
schwellen	schwelle	V;NFIN	V;SBJV;PRS;1;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
lösen	löste	V;NFIN	V;SBJV;PST;1;SG	C
malen	malt	V;NFIN	V;IND;PRS;2;PL	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
versuchen	versucht	V;NFIN	V;IND;PRS;2;PL	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
verstecken	versteckst	V;NFIN	V;IND;PRS;2;SG	C
reifen	reifst	V;NFIN	V;IND;PRS;2;SG	C
verstecken	versteckst	V;NFIN	V;IND;PRS;2;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
lösen	löst	V;NFIN	V;IND;PRS;2;SG	C
Quelle	Quelle	N;NFIN	N;NOM;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
verlassen	verließen	V;NFIN	V;SBJV;PST;3;PL	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
ernten	erntest	V;NFIN	V;SBJV;PRS;2;SG	C
gedenken	gedenkst	V;NFIN	V;IND;PRS;2;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
feiern	feierst	V;NFIN	V;IND;PRS;2;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
verkürzen	verkürzten	V;NFIN	V;SBJV;PST;3;PL	C
verführen	verführest	V;NFIN	V;SBJV;PRS;2;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
wehren	wehrt	V;NFIN	V;IND;PRS;2;PL	C
Sorge	Sorgen	N;NFIN	N;DAT;PL	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
begraben	begrabe	V;NFIN	V;SBJV;PRS;1;SG	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
toben	tobet	V;NFIN	V;SBJV;PRS;2;PL	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
verführen	verführten	V;NFIN	V;SBJV;PST;3;PL	C
Spitze	Spitze	N;NFIN	N;NOM;SG	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
verbergen	verbärgen	V;NFIN	V;SBJV;PST;3;PL	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
ärgern	ärgerte	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
lösen	löst	V;NFIN	V;IND;PRS;2;SG	C
leeren	leerst	V;NFIN	V;IND;PRS;2;SG	C
schneiden	schneidet	V;NFIN	V;SBJV;PRS;2;PL	C
wünschen	wünschst	V;NFIN	V;IND;PRS;2;SG	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
lügen	lögen	V;NFIN	V;SBJV;PST;3;PL	C
wehren	wehrt	V;NFIN	V;IND;PRS;2;PL	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
lösen	löste	V;NFIN	V;SBJV;PST;1;SG	C
Spitze	Spitze	N;NFIN	N;NOM;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
harren	harrest	V;NFIN	V;SBJV;PRS;2;SG	C
verstecken	versteckst	V;NFIN	V;IND;PRS;2;SG	C
herrschen	herrschest	V;NFIN	V;SBJV;PRS;2;SG	C
heben	höben	V;NFIN	V;SBJV;PST;3;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
leihen	liehen	V;NFIN	V;SBJV;PST;3;PL	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
erlauben	erlaubest	V;NFIN	V;SBJV;PRS;2;SG	C
feiern	feierst	V;NFIN	V;IND;PRS;2;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
grüßen	grüße	V;NFIN	V;SBJV;PRS;1;SG	C
schämen	schämten	V;NFIN	V;SBJV;PST;3;PL	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
ernten	erntest	V;NFIN	V;SBJV;PRS;2;SG	C
feiern	feierst	V;NFIN	V;IND;PRS;2;SG	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
folgen	folgst	V;NFIN	V;IND;PRS;2;SG	C
setzen	setze	V;NFIN	V;SBJV;PRS;1;SG	C
lügen	lögen	V;NFIN	V;SBJV;PST;3;PL	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
stimmen	stimmet	V;NFIN	V;SBJV;PRS;2;PL	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
besorgen	besorgt	V;NFIN	V;IND;PRS;2;PL	C
besorgen	besorgest	V;NFIN	V;SBJV;PRS;2;SG	C
erwürgen	erwürgest	V;NFIN	V;SBJV;PRS;2;SG	C
zürnen	zürne	V;NFIN	V;SBJV;PRS;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
schämen	schämten	V;NFIN	V;SBJV;PST;3;PL	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
grüßen	grüße	V;NFIN	V;SBJV;PRS;1;SG	C
warnen	warnt	V;NFIN	V;IND;PRS;2;PL	C
erwürgen	erwürgest	V;NFIN	V;SBJV;PRS;2;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
dürfen	dürfte	V;NFIN	V;SBJV;PST;1;SG	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
verkürzen	verkürzten	V;NFIN	V;SBJV;PST;3;PL	C
pflügen	pflüget	V;NFIN	V;SBJV;PRS;2;PL	C
zürnen	zürne	V;NFIN	V;SBJV;PRS;1;SG	C
verstecken	versteckst	V;NFIN	V;IND;PRS;2;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
folgen	folgst	V;NFIN	V;IND;PRS;2;SG	C
feiern	feierst	V;NFIN	V;IND;PRS;2;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
Quelle	Quelle	N;NFIN	N;NOM;SG	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
schämen	schämten	V;NFIN	V;SBJV;PST;3;PL	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
grüßen	grüße	V;NFIN	V;SBJV;PRS;1;SG	C
begraben	begrübe	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
offenbaren	offenbarest	V;NFIN	V;SBJV;PRS;2;SG	C
schämen	schämten	V;NFIN	V;SBJV;PST;3;PL	C
wehren	wehrt	V;NFIN	V;IND;PRS;2;PL	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
gedenken	gedächten	V;NFIN	V;SBJV;PST;3;PL	C
begraben	begrübe	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
Würze	Würze	N;NFIN	N;NOM;SG	C
setzen	setze	V;NFIN	V;SBJV;PRS;1;SG	C
grünen	grünte	V;NFIN	V;SBJV;PST;1;SG	C
grünen	grünte	V;NFIN	V;SBJV;PST;1;SG	C
warnen	warnet	V;NFIN	V;SBJV;PRS;2;PL	C
erlauben	erlaubest	V;NFIN	V;SBJV;PRS;2;SG	C
Kleinod	Kleinodien	N;NFIN	N;DAT;PL	C
legen	legt	V;NFIN	V;IND;PRS;2;PL	C
regieren	regierte	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
grüßen	grüße	V;NFIN	V;SBJV;PRS;1;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
dürfen	dürfte	V;NFIN	V;SBJV;PST;1;SG	C
schneiden	schneidet	V;NFIN	V;SBJV;PRS;2;PL	C
knüpfen	knüpfet	V;NFIN	V;SBJV;PRS;2;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
Herd	Herd	N;NFIN	N;NOM;SG	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
harren	harrest	V;NFIN	V;SBJV;PRS;2;SG	C
ernten	erntest	V;NFIN	V;SBJV;PRS;2;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
verdammen	verdammst	V;NFIN	V;IND;PRS;2;SG	C
versuchen	versucht	V;NFIN	V;IND;PRS;2;PL	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
grüßen	grüße	V;NFIN	V;SBJV;PRS;1;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
lösen	lösten	V;NFIN	V;SBJV;PST;3;PL	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
lösen	löste	V;NFIN	V;SBJV;PST;1;SG	C
speisen	speist	V;NFIN	V;IND;PRS;2;SG	C
Schatz	Schätzen	N;NFIN	N;DAT;PL	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
Fett	Fett	N;NFIN	N;NOM;SG	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
ernten	erntest	V;NFIN	V;SBJV;PRS;2;SG	C
speisen	speist	V;NFIN	V;IND;PRS;2;SG	C
setzen	setze	V;NFIN	V;SBJV;PRS;1;SG	C
zählen	zähle	V;NFIN	V;SBJV;PRS;1;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
schämen	schämten	V;NFIN	V;SBJV;PST;3;PL	C
herrschen	herrschest	V;NFIN	V;SBJV;PRS;2;SG	C
dürfen	dürfte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
Fett	Fett	N;NFIN	N;NOM;SG	C
folgen	folgst	V;NFIN	V;IND;PRS;2;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
dürfen	dürfte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
vertreiben	vertreibe	V;NFIN	V;SBJV;PRS;1;SG	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
speisen	speist	V;NFIN	V;IND;PRS;2;SG	C
grünen	grünte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
Ebene	Ebenen	N;NFIN	N;DAT;PL	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
knüpfen	knüpfet	V;NFIN	V;SBJV;PRS;2;PL	C
losen	loste	V;NFIN	V;SBJV;PST;1;SG	C
dringen	dringst	V;NFIN	V;IND;PRS;2;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
graben	gräbst	V;NFIN	V;IND;PRS;2;SG	C
wehren	wehrt	V;NFIN	V;IND;PRS;2;PL	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
versuchen	versucht	V;NFIN	V;IND;PRS;2;PL	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
zürnen	zürne	V;NFIN	V;SBJV;PRS;1;SG	C
folgen	folgst	V;NFIN	V;IND;PRS;2;SG	C
sagen	sagest	V;NFIN	V;SBJV;PRS;2;SG	C
verdammen	verdammst	V;NFIN	V;IND;PRS;2;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
lösen	löst	V;NFIN	V;IND;PRS;2;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
setzen	setze	V;NFIN	V;SBJV;PRS;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
legen	legt	V;NFIN	V;IND;PRS;2;PL	C
glänzen	glänzt	V;NFIN	V;IND;PRS;2;SG	C
wünschen	wünschst	V;NFIN	V;IND;PRS;2;SG	C
malen	malt	V;NFIN	V;IND;PRS;2;PL	C
schnüren	schnürest	V;NFIN	V;SBJV;PRS;2;SG	C
schnappen	schnappet	V;NFIN	V;SBJV;PRS;2;PL	C
reglementieren	reglementiert	V;NFIN	V;IND;PRS;2;PL	C
Jungfernflug	Jungfernflug	N;NFIN	N;NOM;SG	C
Blattgewebe	Blattgeweben	N;NFIN	N;DAT;PL	C
Kalifeldspat	Kalifeldspat	N;NFIN	N;NOM;SG	C
Verkehrsflugzeug	Verkehrsflugzeug	N;NFIN	N;NOM;SG	C
Regenwald	Regenwald	N;NFIN	N;NOM;SG	C
Plumps	Plumpsen	N;NFIN	N;DAT;PL	C
schwirren	schwirret	V;NFIN	V;SBJV;PRS;2;PL	C
heischen	heischten	V;NFIN	V;SBJV;PST;3;PL	C
fritieren	fritiert	V;NFIN	V;IND;PRS;2;PL	C
bimmeln	bimmelte	V;NFIN	V;SBJV;PST;1;SG	C
Rechenbrett	Rechenbrettern	N;NFIN	N;DAT;PL	C
Premiere	Premieren	N;NFIN	N;DAT;PL	C
revoltieren	revoltiert	V;NFIN	V;IND;PRS;2;PL	C
Eisstein	Eisstein	N;NFIN	N;NOM;SG	C
Zuschauer	Zuschauer	N;NFIN	N;NOM;SG	C
Germanist	Germanisten	N;NFIN	N;DAT;PL	C
Bazzit	Bazziten	N;NFIN	N;DAT;PL	C
Glühwürmchen	Glühwürmchen	N;NFIN	N;DAT;PL	C
Mitschuld	Mitschuld	N;NFIN	N;NOM;SG	C
Jagdhund	Jagdhunden	N;NFIN	N;DAT;PL	C
mobilisieren	mobilisieret	V;NFIN	V;SBJV;PRS;2;PL	C
Schotte	Schotten	N;NFIN	N;DAT;PL	C
hegen	hegten	V;NFIN	V;SBJV;PST;3;PL	C
Stoffwechselweg	Stoffwechselwegen	N;NFIN	N;DAT;PL	C
frappieren	frappierte	V;NFIN	V;SBJV;PST;1;SG	C
weissagen	weissagst	V;NFIN	V;IND;PRS;2;SG	C
beeindrucken	beeindruckt	V;NFIN	V;IND;PRS;2;PL	C
Dessert	Desserts	N;NFIN	N;DAT;PL	C
überreichen	überreichst	V;NFIN	V;IND;PRS;2;SG	C
Schuldner	Schuldner	N;NFIN	N;NOM;SG	C
destabilisieren	destabilisierte	V;NFIN	V;SBJV;PST;1;SG	C
Färse	Färsen	N;NFIN	N;DAT;PL	C
Bildschirmfoto	Bildschirmfoto	N;NFIN	N;NOM;SG	C
Katalane	Katalanen	N;NFIN	N;DAT;PL	C
überschneiden	überschneidet	V;NFIN	V;IND;PRS;2;PL	C
verfangen	verfange	V;NFIN	V;SBJV;PRS;1;SG	C
posieren	posiert	V;NFIN	V;IND;PRS;2;PL	C
begleichen	begliche	V;NFIN	V;SBJV;PST;1;SG	C
tränken	tränkten	V;NFIN	V;SBJV;PST;3;PL	C
putzen	putzte	V;NFIN	V;SBJV;PST;1;SG	C
formulieren	formulierst	V;NFIN	V;IND;PRS;2;SG	C
Kompass	Kompass	N;NFIN	N;NOM;SG	C
überwachen	überwachest	V;NFIN	V;SBJV;PRS;2;SG	C
knuffen	knufften	V;NFIN	V;SBJV;PST;3;PL	C
überbewerten	überbewerte	V;NFIN	V;SBJV;PRS;1;SG	C
Politologe	Politologe	N;NFIN	N;NOM;SG	C
extemporieren	extemporiere	V;NFIN	V;SBJV;PRS;1;SG	C
