src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
granatträden,granatträdet,1_7,1_8,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
mannen,mannat,2_14,2_5,n;ut;sg;def - n;ut;sg;def;compound-R,n;un;sg;def - n;un;sg;def;compound-R,PARADIGM_ERROR
tillgivit,tillgiver,0_14,0_8,verb;supn;actv,verb;pres;actv,C
menar,menat,2_9,2_5,verb;pres;actv,verb;supn;actv - adj;pp;nt;sg;ind,C
ohelgat,ohelgad,2_5,2_3,adj;pst;nt;sg;ind,adj;pst;ut;sg;ind,C
landets,land,1_9,1_1,n;nt;sg;def;gen - n;nt;sg;def;gen;compound-R,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
känden,kända,0_6,0_0,,,SRC_LEXICAL_ERROR
träldomen,träldomens,1_7,1_6,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,C
frukten,fruktan,2_14,2_2,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind - n;ut;sg;def - n;ut;sg;ind;compound-R - n;ut;sg;def;compound-R,PARADIGM_ERROR
dröj,dröja,0_2,0_0,verb;imp - verb;inf;actv;cmp;compound-only-L,verb;inf;actv,C
stadgarna,stadgat,2_13,2_5,n;un;pl;def - n;un;pl;def;compound-R,verb;supn;actv - adj;pp;nt;sg;ind - adj;pst;nt;sg;ind,POS_PAIR_ERROR
Job,Jobs,1_1,1_2,np;ant;m - np;ant;m;compound-R,np;ant;m;gen - np;ant;m;gen;compound-R,SRC_POS_ERROR TGT_POS_ERROR
stångar,stång,2_9,2_2,verb;pres;actv,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
utsago,utsagor,0_15,0_13,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;ind - n;ut;pl;ind;compound-R,C
Husen,Husas,0_6,0_11,np;top - n;nt;pl;def - np;top;compound-R - n;nt;pl;def;compound-R,np;cog;gen - n;ut;sg;ind;gen - np;cog;gen;compound-R - n;ut;sg;ind;gen;compound-R,PARADIGM_ERROR
bevisat,bevisa,2_5,2_12,verb;supn;actv - adj;pp;nt;sg;ind,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,C
avbilderna,avbilder,1_5,1_0,n;ut;pl;def - n;ut;pl;def;compound-R,n;ut;pl;ind - n;ut;pl;ind;compound-R,C
mogen,mogen,1_7,1_7,adj;sint;pst;ut;sg;ind,adj;sint;pst;ut;sg;ind,C
ljudit,ljuda,0_14,0_0,verb;supn;actv,verb;imp - verb;inf;actv,C
inredde,inreda,0_1,0_0,verb;past;actv - adj;pp;m;sg;def,verb;inf;actv,C
svagare,svagas,0_12,0_11,adj;sint;comp;un;sp,adj;sint;pst;un;pl;ind;gen - adj;sint;pst;un;pl;def;gen - adj;sint;pst;fn;sg;def;gen,C
häftig,häftig,0_2,0_2,adj;sint;pst;ut;sg;ind,adj;sint;pst;ut;sg;ind,C
lämnat,lämnas,2_5,2_7,verb;supn;actv - adj;pp;nt;sg;ind,verb;inf;pasv - verb;pres;pasv,C
kval,kvalen,0_2,0_6,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,n;nt;pl;def - n;nt;pl;def;compound-R,C
sträcka,sträcker,0_0,0_8,verb;inf;actv - n;ut;sg;ind - n;ut;sg;ind;compound-R,verb;pres;actv,C
prisar,prisad,2_9,2_3,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R,adj;pp;ut;sg;ind,POS_PAIR_ERROR
snabb,snabba,0_2,0_0,adj;sint;pst;ut;sg;ind,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,C
tillsluta,tillsluter,0_0,0_8,verb;inf;actv,verb;pres;actv,C
åkerstycket,åkerstycke,1_8,1_1,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
visar,visad,2_9,2_3,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,adj;pp;ut;sg;ind,POS_PAIR_ERROR
brottsligt,brottsliga,0_10,0_0,adj;sint;pst;nt;sg;ind,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,C
eldslåga,eldslågor,0_0,0_13,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
rikes,rikare,0_3,0_12,n;nt;sg;ind;gen - adj;sint;pst;m;sg;def;gen - n;nt;sg;ind;gen;compound-R,adj;sint;comp;un;sp,C
fostran,fostren,2_2,2_14,n;ut;sg;ind - n;ut;sg;def - n;ut;sg;ind;compound-R - n;ut;sg;def;compound-R,n;nt;pl;def - n;nt;pl;def;compound-R,PARADIGM_ERROR
leven,leva,0_6,0_0,n;ut;sg;def - n;nt;pl;ind - n;ut;sg;def;compound-R - n;nt;pl;ind;compound-R,verb;inf;actv - n;ut;sg;ind - n;ut;pl;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR
smides,smide,0_3,0_5,n;nt;sg;ind;gen - n;nt;sg;ind;gen;compound-R - verb;pres;pasv - n;nt;sg;ind;cmp;compound-only-L,n;nt;sg;ind - n;nt;sg;ind;compound-R,C
herden,herdar,1_7,1_0,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;pl;ind - n;ut;pl;ind;compound-R,C
lägrat,lägrad,2_5,2_3,verb;supn;actv - adj;pp;nt;sg;ind,adj;pp;ut;sg;ind,C
sannfärdiga,sannfärdig,0_0,0_2,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,adj;sint;pst;ut;sg;ind,C
kinden,kinder,1_7,1_0,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;pl;ind - n;ut;pl;ind;compound-R,C
stänkes,stänka,0_3,0_0,verb;pres;pasv,verb;inf;actv,C
taget,tagas,0_2,0_11,n;nt;sg;def - adj;pp;nt;sg;ind - n;nt;sg;def;compound-R - adj;sint;pst;nt;sg;ind,verb;inf;pasv,POS_PAIR_ERROR
återstod,återstodo,0_2,0_15,,,TGT_LEXICAL_ERROR
intagas,intager,0_11,0_8,verb;inf;pasv,verb;pres;actv,C
lagen,laga,2_14,2_12,n;nt;pl;def - n;ut;sg;def - n;ut;sg;def;compound-R,verb;imp - verb;inf;actv - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;nt;sg;ind - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pst;ut;sg;ind,POS_PAIR_ERROR
insatt,insatte,0_10,0_1,verb;supn;actv - adj;sint;pst;nt;sg;ind - adj;sint;pst;ut;sg;ind - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind,verb;past;actv - adj;sint;pst;m;sg;def - adj;pp;m;sg;def - adj;pp;m;sg;def,C
förfarna,förfara,0_0,0_0,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,verb;inf;actv,POS_PAIR_ERROR
inviga,invigas,0_0,0_11,verb;inf;actv,verb;inf;pasv,C
filisté,filistéerna,1_1,1_5,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;def - n;ut;pl;def;compound-R,C
bergen,bergets,1_7,1_9,n;nt;pl;def - n;nt;pl;def;compound-R,n;nt;sg;def;gen - n;nt;sg;def;gen;compound-R,C
släktet,släkt,1_8,1_1,n;nt;sg;def - n;nt;sg;def;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;nt;sg;ind - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pst;ut;sg;ind - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR
rannsakar,rannsaken,2_9,2_14,,,TGT_LEXICAL_ERROR
bygg,bygga,0_2,0_0,verb;imp - verb;inf;actv;cmp;compound-only-L,verb;inf;actv,C
förbidan,förbidade,2_2,2_11,n;ut;sg;ind - n;ut;sg;def - n;ut;sg;ind;compound-R - n;ut;sg;def;compound-R,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,POS_PAIR_ERROR
betänkt,betänken,0_10,0_6,,,TGT_LEXICAL_ERROR
förbunds,förbundets,1_2,1_9,n;nt;sg;ind;gen - n;nt;pl;ind;gen - n;nt;sg;ind;gen;compound-R - n;nt;pl;ind;gen;compound-R - n;nt;sg;ind;cmp;compound-only-L,n;nt;sg;def;gen - adj;pp;nt;sg;ind;gen - adj;sint;pst;nt;sg;ind;gen - n;nt;sg;def;gen;compound-R,C
vägd,väga,0_5,0_0,adj;pp;ut;sg;ind,verb;imp - verb;inf;actv,POS_PAIR_ERROR
mura,mur,2_12,2_2,verb;imp - verb;inf;actv,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
avskilda,avskild,0_0,0_2,adj;pp;pl;ind - adj;pp;pl;def - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def - adj;pp;fn;sg;def,adj;sint;pst;ut;sg;ind - adj;pp;ut;sg;ind,C
hänt,hända,0_10,0_0,verb;supn;actv,verb;inf;actv,C
tyngde,tyngda,0_1,0_0,verb;past;actv - adj;pp;m;sg;def,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,C
dragit,dragna,0_14,0_0,verb;supn;actv,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,POS_PAIR_ERROR
Människosonens,Människoson,1_6,1_1,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R,C
fostrad,fostrar,2_3,2_9,adj;pp;ut;sg;ind,verb;pres;actv - n;ut;sg;ind;cmp;compound-only-L,POS_PAIR_ERROR
räddat,räddare,2_5,2_1,verb;supn;actv - adj;pp;nt;sg;ind,n;ut;sg;ind - n;ut;sg;ind;compound-R - adj;sint;comp;un;sp - n;ut;pl;ind - n;ut;pl;ind;compound-R,PARADIGM_ERROR
an,anda,0_2,0_0,adv;,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,POS_PAIR_ERROR
fresten,frestas,2_14,2_7,,,SRC_LEXICAL_ERROR
Jefunnes,Jefunne,1_2,1_1,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Tekoa,Tekoas,0_0,0_11,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
inbärgade,inbärgen,2_11,2_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
bar,bar,0_2,0_2,n;ut;sg;ind - n;ut;pl;ind - verb;past;actv - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - adj;sint;pst;ut;sg;ind,n;ut;sg;ind - n;ut;pl;ind - verb;past;actv - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - adj;sint;pst;ut;sg;ind,C
blottar,blottas,2_9,2_7,verb;pres;actv - n;ut;sg;ind;cmp;compound-only-L,adj;pst;un;pl;ind;gen - adj;pst;un;pl;def;gen - adj;pst;fn;sg;def;gen - n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - verb;inf;pasv - verb;pres;pasv,C
glädje,glädjens,1_1,1_6,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,C
fattat,fattades,2_5,2_10,verb;supn;actv - adj;pst;nt;sg;ind,verb;past;pasv - adj;pst;un;pl;ind;gen - adj;pst;un;pl;def;gen - adj;pst;m;sg;def;gen - adj;pst;fn;sg;def;gen - verb;past;pasv,C
behövas,behöva,0_11,0_0,verb;inf;pasv - verb;inf;pasv,verb;inf;actv,C
vaktar,vaktade,2_9,2_11,verb;pres;actv,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
visad,vise,2_3,2_15,adj;pp;ut;sg;ind,n;ut;sg;ind - n;ut;sg;ind;compound-R - adj;sint;pst;m;sg;def - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR
visat,visan,2_5,2_2,verb;supn;actv - adj;pp;nt;sg;ind,n;ut;sg;def - n;ut;sg;def;compound-R,POS_PAIR_ERROR
gud,gudarna,1_1,1_4,ij; - n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;def - n;ut;pl;def;compound-R,C
etiopier,etiopier,1_0,1_0,n;ut;sg;ind - n;ut;pl;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;pl;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
hästar,hästens,1_0,1_6,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,C
lejonens,lejonen,1_6,1_7,n;nt;pl;def;gen - n;nt;pl;def;gen;compound-R,n;nt;pl;def - n;nt;pl;def;compound-R,C
tvingat,tvingade,2_5,2_11,verb;supn;actv - adj;pp;nt;sg;ind,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
släpet,släpas,2_4,2_7,n;nt;sg;def - n;nt;sg;def;compound-R,verb;inf;pasv - verb;pres;pasv,POS_PAIR_ERROR
mur,murare,2_2,2_1,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind - n;ut;pl;ind;compound-R,PARADIGM_ERROR
bevisning,bevisa,2_0,2_12,n;ut;sg;ind - n;ut;sg;ind;compound-R,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,POS_PAIR_ERROR
efterföljd,efterföljde,0_5,0_1,n;ut;sg;ind - n;ut;sg;ind;compound-R - adj;pp;ut;sg;ind,verb;past;actv - adj;pp;m;sg;def,C
Salmona,Salmone,0_0,0_5,,,SRC_LEXICAL_ERROR
upprättar,upprättad,2_9,2_3,verb;pres;actv,adj;pp;ut;sg;ind,POS_PAIR_ERROR
lovade,loven,2_11,2_14,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,n;nt;pl;def - n;ut;sg;def - n;ut;sg;def - n;ut;sg;def;compound-R - n;ut;sg;def;compound-R,POS_PAIR_ERROR
stäng,stänger,0_2,0_8,verb;imp - verb;inf;actv;cmp;compound-only-L,n;ut;pl;ind - verb;pres;actv - n;ut;pl;ind;compound-R,C
tänkt,tänke,0_10,0_5,,,TGT_LEXICAL_ERROR
ödelagd,ödelagda,0_2,0_0,adj;pp;ut;sg;ind,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,C
sjönko,sjönk,0_15,0_2,,,SRC_LEXICAL_ERROR
murar,murarna,2_9,2_13,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;def - n;ut;pl;def;compound-R - n;ut;pl;def - n;ut;pl;def;compound-R,C
köp,köpen,0_2,0_6,verb;imp - n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,n;nt;pl;def - n;nt;pl;def;compound-R,C
lägret,lägra,2_4,2_12,n;nt;sg;def - n;nt;sg;def;compound-R,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,POS_PAIR_ERROR
upptänden,upptänd,0_6,0_2,,,SRC_LEXICAL_ERROR
präktigare,präktiga,0_12,0_0,adj;sint;comp;un;sp,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,C
förkunnat,förkunnas,2_5,2_7,verb;supn;actv - adj;pp;nt;sg;ind,verb;inf;pasv - verb;pres;pasv,C
göras,gör,0_11,0_2,n;nt;sg;ind;gen - n;nt;sg;ind;gen;compound-R - verb;inf;pasv - n;nt;sg;ind;cmp;compound-only-L,verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,C
berget,bergets,1_8,1_9,n;nt;sg;def - n;nt;sg;def;compound-R,n;nt;sg;def;gen - n;nt;sg;def;gen;compound-R,C
dömt,dömes,0_10,0_3,,,TGT_LEXICAL_ERROR
fastnat,fastnade,2_5,2_11,verb;supn;actv,verb;past;actv,C
skuldoffersvädur,skuldoffersväduren,1_1,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
starkhet,starka,0_7,0_0,,,SRC_LEXICAL_ERROR
anser,ansa,0_8,0_0,verb;pres;actv,verb;imp - verb;inf;actv,PARADIGM_ERROR
sönderbrutet,sönderbruten,1_8,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
året,år,1_8,1_1,n;nt;sg;def,n;nt;sg;ind - n;nt;pl;ind - n;ut;sg;ind;cmp - n;ut;sg;ind;cmp;compound-only-L,C
uttalar,uttalade,2_9,2_11,verb;pres;actv,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def,C
halta,halta,2_12,2_12,verb;imp - verb;inf;actv - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def - verb;inf;actv;cmp;compound-only-L,verb;imp - verb;inf;actv - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def - verb;inf;actv;cmp;compound-only-L,C
molnens,molnet,1_6,1_8,n;nt;pl;def;gen - n;nt;pl;def;gen;compound-R,n;nt;sg;def - n;nt;sg;def;compound-R,C
vänt,väns,0_10,0_4,verb;supn;actv - adj;sint;pst;nt;sg;ind - verb;inf;actv;cmp;compound-only-L - adj;pp;nt;sg;ind,n;ut;sg;ind;gen - adj;sint;pst;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
ger,ger,0_2,0_2,verb;pres;actv,verb;pres;actv,C
gudfruktiga,gudfruktigt,0_0,0_10,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,adj;sint;pst;nt;sg;ind,C
skifte,skiftat,2_15,2_5,n;nt;sg;ind - n;nt;sg;ind;compound-R,verb;supn;actv - adj;pp;nt;sg;ind,POS_PAIR_ERROR
Sebas,Seba,0_11,0_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
gräte,gräten,0_5,0_6,,,TGT_LEXICAL_ERROR
kallas,kallar,2_7,2_9,n;ut;sg;ind;gen - adj;sint;pst;un;pl;ind;gen - adj;sint;pst;un;pl;def;gen - adj;sint;pst;fn;sg;def;gen - n;ut;sg;ind;gen;compound-R - verb;inf;pasv - verb;pres;pasv,verb;pres;actv,C
var,var,0_2,0_2,verb;past;actv - adv; - verb;inf;actv;cmp;compound-only-L - n;nt;sg;ind - n;nt;sg;ind;compound-R - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;nt;sg;ind - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pst;ut;sg;ind - prn;def;ut;sg;nom - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,verb;past;actv - adv; - verb;inf;actv;cmp;compound-only-L - n;nt;sg;ind - n;nt;sg;ind;compound-R - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;nt;sg;ind - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pst;ut;sg;ind - prn;def;ut;sg;nom - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,C
förtär,förtärde,0_2,0_1,verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,verb;past;actv - adj;pp;m;sg;def,C
fångarna,fång,2_13,2_2,n;ut;pl;def - n;ut;pl;def;compound-R,n;nt;sg;ind - n;nt;pl;ind - n;ut;sg;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;ut;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,C
skrämmes,skrämma,0_3,0_0,,,SRC_LEXICAL_ERROR
vimlar,vimla,2_9,2_12,verb;pres;actv,verb;imp - verb;inf;actv,C
anställa,anställda,0_0,0_0,verb;inf;actv,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,POS_PAIR_ERROR
väggen,vägg,1_7,1_1,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
Jispa,Jispan,0_0,0_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
stöter,stöten,0_8,0_6,verb;pres;actv,n;ut;sg;def - n;ut;sg;def;compound-R,POS_PAIR_ERROR
stadgen,stadgan,2_14,2_2,,,SRC_LEXICAL_ERROR
förrådde,förrådda,0_1,0_0,verb;past;actv - adj;pp;m;sg;def,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,C
ärat,är,2_5,2_2,verb;supn;actv - adj;pp;nt;sg;ind - adj;pst;nt;sg;ind,verb;pres;actv - verb;inf;actv;cmp;compound-only-L,C
utbytte,utbyter,0_1,0_8,verb;past;actv - adj;pp;m;sg;def - adj;pp;m;sg;def,verb;pres;actv,C
flyttades,flyttas,2_10,2_7,verb;past;pasv - adj;pp;pl;ind;gen - adj;pp;pl;def;gen - adj;pp;m;sg;def;gen - adj;pp;fn;sg;def;gen,verb;inf;pasv - verb;pres;pasv,C
bortkastade,bortkastat,0_1,0_10,adj;pp;pl;ind - adj;pp;pl;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,adj;pst;nt;sg;ind - adj;pp;nt;sg;ind,C
styggelser,styggelsen,1_0,1_7,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,C
drag,drager,0_2,0_8,verb;imp - n;nt;sg;ind - n;nt;pl;ind - verb;inf;actv;cmp;compound-only-L - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,verb;pres;actv,C
hörande,hör,0_9,0_2,adj;pprs - n;nt;sg;ind - n;nt;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,POS_PAIR_ERROR
vitare,vitt,0_12,0_10,adj;sint;comp;un;sp,adj;sint;pst;nt;sg;ind - adj;sint;pst;nt;sg;ind - verb;inf;actv;cmp;compound-only-L,C
nitälsken,nitälskande,2_14,2_8,,,SRC_LEXICAL_ERROR
utkorade,utkoras,2_11,2_7,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def,verb;inf;pasv - verb;pres;pasv,C
sköld,sköld,1_1,1_1,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
axen,axens,1_7,1_6,n;nt;pl;def,n;nt;pl;def;gen,C
uppfyllas,uppfyllen,0_11,0_6,,,TGT_LEXICAL_ERROR
intag,intagit,0_2,0_14,verb;imp - n;nt;sg;ind - n;nt;pl;ind - verb;inf;actv;cmp;compound-only-L - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R,verb;supn;actv,C
bevarade,bevarad,2_11,2_3,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,adj;pp;ut;sg;ind,C
gagn,gagnade,2_2,2_11,n;nt;sg;ind - n;nt;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
kalv,kalv,2_2,2_2,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
rev,revo,0_2,0_15,,,TGT_LEXICAL_ERROR
slumrat,slumrar,2_5,2_9,verb;supn;actv - adj;pp;nt;sg;ind,verb;pres;actv,C
skattmästare,skattmästarna,0_5,0_0,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;pl;def - n;ut;pl;def;compound-R,C
Nilflod,Nilflodens,1_1,1_6,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
stark,starkare,0_2,0_12,adj;sint;pst;ut;sg;ind,adj;sint;comp;un;sp,C
fötter,fött,1_0,1_1,n;ut;pl;ind - n;ut;pl;ind;compound-R,verb;supn;actv - adj;pp;nt;sg;ind - adj;sint;pst;nt;sg;ind,POS_PAIR_ERROR
uppskrivna,uppskrivet,0_0,0_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
rådfrågat,rådfrågade,2_5,2_11,verb;supn;actv - adj;pp;nt;sg;ind,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
samlade,samlades,2_11,2_10,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def,verb;past;pasv - adj;pp;pl;ind;gen - adj;pp;pl;def;gen - adj;pp;m;sg;def;gen - adj;pp;fn;sg;def;gen - adj;pst;un;pl;ind;gen - adj;pst;un;pl;def;gen - adj;pst;m;sg;def;gen - adj;pst;fn;sg;def;gen - verb;past;pasv,C
ankar,ankaren,0_2,0_6,n;nt;sg;ind - n;nt;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;nt;sg;ind;cmp;compound-only-L,n;nt;pl;ind - n;nt;pl;ind;compound-R,C
sträcke,sträckt,0_5,0_10,n;ut;sg;ind;cmp;compound-only-L,verb;supn;actv - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind,POS_PAIR_ERROR
