src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
Heródesar,Heródes,1_9,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hanga,hangir,1_14,1_4,verb;actv;inf - verb;actv;pri;p3;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,C
beinar,beinir,1_9,1_4,adj;pst;f;pl;nom;sta - adj;pst;f;pl;acc;sta,adj;pst;m;pl;nom;sta,C
krossfesta,krossfest,1_14,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
spotti,spottað,1_7,1_8,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
varast,varir,0_11,0_8,,,SRC_LEXICAL_ERROR
steinum,steini,1_2,1_7,n;m;pl;dat;ind,n;m;sg;dat;ind,C
orðunum,orðs,1_1,1_13,n;nt;pl;dat;def,n;nt;sg;gen;ind,C
uppfylla,uppfylli,0_20,0_15,verb;actv;inf - verb;actv;pri;p3;pl,verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,C
safnaði,safna,1_11,1_14,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;f;sg;nom;vei,verb;actv;inf - n;nt;pl;gen;ind - verb;actv;pri;p1;sg - verb;actv;pri;p3;pl - verb;midv;imp;p2;sg,C
sver,sverð,0_14,0_18,verb;actv;pri;p1;sg - verb;actv;pri;p3;sg - verb;actv;imp;p2;sg,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind - verb;actv;pri;p2;sg,C
gjöri,gjörir,0_15,0_8,verb;midv;inf - verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,verb;midv;inf - verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,C
orðinu,orð,1_10,1_0,n;nt;sg;dat;def,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,C
vegsamað,vegsamið,1_8,1_15,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
mælistikur,mælistiku,1_12,1_17,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
fremur,fremja,0_16,0_6,adv;comp - verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;inf - verb;actv;pri;p3;pl,C
munir,muntu,0_8,0_4,,,TGT_LEXICAL_ERROR
spádóm,spádómur,1_0,1_12,n;m;sg;acc;def,n;m;sg;nom;def,C
hreykinn,hreykir,0_2,0_8,,,TGT_LEXICAL_ERROR
illir,illa,1_4,1_14,adj;pst;m;pl;nom;sta,adv;pst - adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,C
hætti,hætt,1_7,1_0,verb;actv;inf - verb;actv;pri;p1;sg - verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - n;m;sg;dat;ind - n;m;pl;acc;ind - verb;actv;pp;m;sg;nom;vei,verb;actv;supn - verb;actv;imp;p2;sg - verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,C
hastar,hasta,1_9,1_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
stær,stær,0_14,0_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
iðrast,iðrar,1_19,1_9,,,TGT_LEXICAL_ERROR
drýgið,drýgir,0_19,0_8,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,C
öruggir,örugga,1_4,1_14,adj;pst;m;pl;nom;sta,adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,C
Kristur,Krist,1_12,1_0,np;al;m;sg;nom,np;al;m;sg;acc,SRC_POS_ERROR TGT_POS_ERROR
hvíldardaginn,hvíldardag,1_5,1_0,n;m;sg;acc;def,n;m;sg;acc;ind,C
ósýrðum,ósýrðu,1_2,1_17,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
læknast,læknaði,1_19,1_11,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
pant,pantur,1_0,1_12,n;m;sg;acc;ind,n;m;sg;nom;ind,C
lokið,lokum,1_15,1_2,n;nt;sg;nom;def - n;nt;sg;acc;def - verb;actv;supn - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,n;nt;pl;dat;ind - n;f;pl;dat;ind,C
lagður,lagðir,1_12,1_4,verb;actv;pp;m;sg;nom;sta,verb;actv;past;p2;sg - verb;actv;pp;m;pl;nom;sta - verb;actv;pp;f;pl;nom;sta,C
hálfu,hálft,1_17,1_0,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,C
skyldi,skylduð,1_7,1_18,verb;pss;p1;sg - verb;pss;p3;sg - adj;pst;m;sg;nom;vei,verb;pss;p2;pl,C
þolið,þoli,1_15,1_7,n;nt;sg;nom;def - n;nt;sg;acc;def - verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,n;nt;sg;dat;ind - verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,C
fullnuð,fullnast,1_18,1_19,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
vegurinn,vegum,1_16,1_2,n;m;sg;nom;def,n;m;pl;dat;ind,C
hagi,hagað,1_7,1_8,,,TGT_LEXICAL_ERROR
greið,greiðið,0_14,0_19,,,SRC_LEXICAL_ERROR
situr,sitt,0_16,0_17,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,prn;pos;nt;sg;nom - prn;pos;nt;sg;acc - det;pos;nt;sg;nom - det;pos;nt;sg;acc,POS_PAIR_ERROR
prestar,presturinn,1_9,1_16,n;m;pl;nom;ind,n;m;sg;nom;def,C
treyst,treysta,1_0,1_14,verb;actv;supn - verb;midv;supn - verb;actv;imp;p2;sg,verb;actv;inf - verb;actv;pri;p3;pl,C
el,elti,0_14,0_0,verb;actv;pri;p1;sg,verb;actv;pri;p1;sg - verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,PARADIGM_ERROR
villast,villu,0_11,0_10,,,SRC_LEXICAL_ERROR
engils,engil,1_13,1_0,n;m;sg;gen;ind,n;m;sg;acc;ind,C
hastaði,hastar,1_11,1_9,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ónýtast,ónýta,0_11,0_20,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
elskuð,elsku,1_18,1_17,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,n;f;sg;acc;ind - n;f;sg;dat;ind - n;f;sg;gen;ind,POS_PAIR_ERROR
kynslóðar,kynslóð,1_9,1_0,n;f;sg;gen;ind,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,C
Filippus,Filippusi,1_0,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hjúpast,hjúp,1_19,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hirði,hirðar,1_7,1_9,n;m;sg;acc;ind - n;m;sg;dat;ind,n;f;sg;gen;ind - n;m;pl;nom;ind,C
þjónið,þjón,1_15,1_0,,,SRC_LEXICAL_ERROR
hvílík,hvílíkur,1_0,1_12,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Margir,Margt,0_8,0_17,adj;pst;m;pl;nom;sta,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,C
vatn,vatns,1_0,1_13,n;nt;sg;nom;ind - n;nt;sg;acc;ind,n;nt;sg;gen;ind,C
talaði,talinn,1_11,1_5,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,verb;actv;pp;m;sg;nom;sta - verb;actv;pp;m;sg;acc;sta,PARADIGM_ERROR
þinn,þinni,1_0,1_7,prn;pos;m;sg;nom - prn;pos;m;sg;acc,prn;pos;f;sg;dat,SRC_POS_ERROR TGT_POS_ERROR
kost,kostum,1_0,1_2,n;m;sg;acc;ind,verb;actv;pri;p1;pl - verb;actv;prs;p1;pl - n;m;pl;dat;ind,C
munt,munir,0_17,0_8,verb;pri;p2;sg,verb;prs;p2;sg - verb;actv;prs;p2;sg - n;m;pl;nom;ind,C
byrjaði,byrjar,1_11,1_9,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,C
bein,bein,1_0,1_0,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
veginn,vega,1_5,1_14,n;m;sg;acc;def,n;m;pl;gen;ind,C
dagar,dags,1_9,1_13,n;m;pl;nom;ind,n;m;sg;gen;ind,C
þrjóta,þrjóti,1_14,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
prestur,prestar,1_12,1_9,n;m;sg;nom;ind,n;m;pl;nom;ind,C
gagna,gagni,1_14,1_7,n;nt;pl;gen;ind,n;nt;sg;dat;ind,C
leitast,leitt,1_19,1_0,verb;midv;inf - verb;midv;supn - verb;midv;pri;p1;sg - verb;midv;pri;p2;sg - verb;midv;pri;p3;sg - verb;midv;pri;p3;pl,verb;actv;supn - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,PARADIGM_ERROR
helgu,helgur,1_17,1_12,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;gen;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;m;sg;nom;sta,C
þorpa,þorpi,1_14,1_7,n;nt;pl;gen;ind,n;nt;sg;dat;ind,C
fórnfæra,fórnfært,0_20,0_17,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hrópa,hrópaði,1_14,1_11,,,TGT_LEXICAL_ERROR
fórn,fórna,0_9,0_21,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;pl;gen;ind,C
bjart,bjartur,1_0,1_12,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,adj;pst;m;sg;nom;sta,C
kyrru,kyrrt,1_17,1_0,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,C
dýrmætan,dýrmæta,1_3,1_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
munir,munu,0_8,0_10,verb;prs;p2;sg - verb;actv;prs;p2;sg - n;m;pl;nom;ind,verb;inf - verb;pri;p3;pl,C
lítilsvirða,lítilsvirðir,1_14,1_4,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
fullnast,fullnuð,1_19,1_18,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
safnaðar,safnaða,1_9,1_14,verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,verb;actv;pp;m;sg;acc;vei - verb;actv;pp;m;sg;dat;vei - verb;actv;pp;m;sg;gen;vei - verb;actv;pp;m;pl;nom;vei - verb;actv;pp;f;pl;acc;sta - verb;actv;pp;nt;sg;nom;vei - verb;actv;pp;nt;sg;acc;sta - verb;actv;pp;nt;sg;acc;vei - verb;actv;pp;nt;sg;dat;vei - verb;actv;pp;nt;sg;gen;vei,C
einir,einar,1_4,1_9,adj;pst;m;pl;nom;sta,adj;pst;f;pl;nom;sta - adj;pst;f;pl;acc;sta,C
breyta,breytir,0_20,0_8,verb;actv;inf - n;f;sg;nom;ind - n;f;pl;gen;ind - verb;actv;pri;p3;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,C
hyggi,hyggist,0_15,0_7,verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,verb;midv;pri;p1;sg - verb;midv;pri;p2;sg - verb;midv;pri;p2;pl - verb;midv;pri;p3;sg - verb;midv;prs;p1;sg - verb;midv;prs;p2;sg - verb;midv;prs;p2;pl - verb;midv;prs;p3;sg - verb;midv;prs;p3;pl,C
lík,líki,0_14,0_15,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind - verb;actv;imp;p2;sg - adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,n;nt;sg;dat;ind - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - adj;pst;m;sg;nom;vei,C
orðin,orða,1_6,1_14,n;nt;pl;nom;def - n;nt;pl;acc;def - verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,n;nt;pl;gen;ind,C
elskaði,elskuð,1_11,1_18,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,C
lýða,lýð,1_14,1_0,n;m;pl;gen;ind,n;m;sg;acc;ind - n;m;sg;dat;ind,C
þegið,þegin,0_19,0_3,verb;actv;supn - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,C
haldna,haldin,0_21,0_3,verb;actv;pp;m;sg;acc;vei - verb;actv;pp;m;sg;dat;vei - verb;actv;pp;m;sg;gen;vei - verb;actv;pp;m;pl;acc;sta - verb;actv;pp;f;sg;nom;vei - verb;actv;pp;f;sg;acc;sta - verb;actv;pp;nt;sg;nom;vei - verb;actv;pp;nt;sg;acc;vei - verb;actv;pp;nt;sg;dat;vei - verb;actv;pp;nt;sg;gen;vei,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,C
byggir,byggði,0_8,0_5,verb;actv;pss;p2;sg - verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - adj;pst;m;sg;nom;vei - verb;actv;pp;m;sg;nom;vei,C
fæ,fæði,0_14,0_5,verb;actv;pri;p1;sg,verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,PARADIGM_ERROR
spámanns,spámanna,1_13,1_14,n;m;sg;gen;ind,n;m;pl;gen;ind,C
stöðug,stöðug,1_0,1_0,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
flutt,flutti,1_0,1_7,verb;actv;supn - verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pp;m;sg;nom;vei,C
hórdómur,hórdómi,1_12,1_7,n;m;sg;nom;def,n;m;sg;dat;def,C
stein,stein,1_0,1_0,n;m;sg;acc;ind,n;m;sg;acc;ind,C
raustar,raustu,1_9,1_17,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
beita,beitt,0_20,0_17,,,TGT_LEXICAL_ERROR
meistara,meistarar,1_14,1_9,n;m;sg;acc;ind - n;m;sg;dat;ind - n;m;sg;gen;ind - n;m;pl;acc;ind - n;m;pl;gen;ind,n;m;pl;nom;ind,C
rekið,rekin,0_19,0_3,,,TGT_LEXICAL_ERROR
borgir,borg,1_4,1_0,n;f;pl;nom;ind - n;f;pl;acc;ind - verb;actv;prs;p2;sg,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,C
postula,postuli,1_14,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
brauðin,brauð,1_6,1_0,n;nt;pl;nom;def - n;nt;pl;acc;def,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,C
þjófur,þjófar,1_12,1_9,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ávöxturinn,ávöxtur,1_16,1_12,n;m;sg;nom;def,n;m;sg;nom;ind,C
brjóta,brjótum,1_14,1_2,verb;actv;inf - verb;actv;pri;p3;pl,verb;actv;pri;p1;pl - verb;actv;prs;p1;pl,C
Guðs,Guði,1_13,1_7,np;al;m;sg;gen - n;m;sg;gen;ind - n;nt;sg;gen;ind,np;al;m;sg;dat - n;m;sg;dat;ind - n;m;pl;acc;ind - n;nt;sg;dat;ind,C
þyrstir,þyrsti,1_4,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
samkunda,samkunda,1_14,1_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
réttlætast,réttlætir,0_11,0_8,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
plágur,plágum,1_12,1_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hróp,hrópa,1_0,1_14,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,n;nt;pl;gen;ind,C
sjó,sjón,0_14,0_9,n;m;sg;acc;ind - n;m;sg;dat;ind,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,PARADIGM_ERROR
sáu,sái,0_10,0_15,,,TGT_LEXICAL_ERROR
högg,höggna,0_14,0_21,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
drökmur,drökmu,1_12,1_17,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
réttlátur,réttlátir,1_12,1_4,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
vondur,vondar,1_12,1_9,adj;pst;m;sg;nom;sta,adj;pst;f;pl;nom;sta - adj;pst;f;pl;acc;sta,C
slíkum,slíkan,1_2,1_3,det;ind;m;sg;dat - det;ind;m;pl;dat - det;ind;f;pl;dat - det;ind;nt;pl;dat,det;ind;m;sg;acc,SRC_POS_ERROR TGT_POS_ERROR
eilífi,eilífan,1_7,1_3,adj;pst;m;sg;nom;vei,adj;pst;m;sg;acc;sta,C
blóðinu,blóði,1_10,1_7,n;nt;sg;dat;def,n;nt;sg;dat;ind,C
slátra,slátrar,1_14,1_9,,,TGT_LEXICAL_ERROR
sama,sami,1_14,1_7,adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,adj;pst;m;sg;nom;vei,C
striti,strita,1_7,1_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
smíðum,smíði,1_2,1_7,,,TGT_LEXICAL_ERROR
Réttu,Rétt,0_4,0_17,n;f;sg;acc;ind - n;f;sg;dat;ind - n;f;sg;gen;ind - adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adv; - n;m;sg;acc;ind - adj;pst;f;sg;nom;sta - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
reynast,reynst,0_11,0_12,verb;midv;inf - verb;midv;pri;p3;pl,verb;midv;supn,C
dómurinn,dóm,1_16,1_0,n;m;sg;nom;ind,n;m;sg;acc;def,C
hlýðið,hlýða,1_15,1_14,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,verb;actv;inf - verb;midv;inf - verb;actv;pri;p3;pl,C
skurðgoðunum,skurðgoðum,1_1,1_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
gjörið,gjörum,0_19,0_1,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,verb;actv;pri;p1;pl - verb;actv;prs;p1;pl,C
presturinn,prestur,1_16,1_12,n;m;sg;nom;def,n;m;sg;nom;ind,C
víngarð,víngarð,1_0,1_0,n;m;sg;acc;ind,n;m;sg;acc;ind,C
sæl,sælan,1_0,1_3,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,adj;pst;m;sg;acc;sta,C
hvíldu,hvíld,1_17,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ríkdóminn,ríkdóm,1_5,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
fullu,fullur,1_17,1_12,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;m;sg;nom;sta,C
fótunum,fótur,1_1,1_12,n;m;pl;dat;def,n;m;sg;nom;ind,C
uppvekja,uppvekur,0_6,0_16,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kennd,kenndir,1_0,1_4,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind - verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,n;f;pl;nom;ind - n;f;pl;acc;ind - verb;actv;past;p2;sg - verb;actv;pss;p2;sg - verb;actv;pp;m;pl;nom;sta,C
fæ,fæðu,0_14,0_13,verb;actv;pri;p1;sg,n;f;sg;acc;ind - n;f;sg;dat;ind - n;f;sg;gen;ind,POS_PAIR_ERROR
fjandskapur,fjandskapinn,1_12,1_5,n;m;sg;nom;ind,n;m;sg;acc;def,C
vísið,víst,1_15,1_0,,,SRC_LEXICAL_ERROR
vegið,vegar,1_15,1_9,,,SRC_LEXICAL_ERROR
líka,líkist,0_20,0_7,adv; - verb;actv;inf - n;nt;pl;gen;ind - n;f;pl;gen;ind - adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,verb;midv;pri;p1;sg - verb;midv;pri;p2;sg - verb;midv;pri;p2;pl - verb;midv;pri;p3;sg - verb;midv;prs;p1;sg - verb;midv;prs;p2;sg - verb;midv;prs;p2;pl - verb;midv;prs;p3;sg - verb;midv;prs;p3;pl,PARADIGM_ERROR
