src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
bergen,bergets,1_7,DET;SG,1_9,PROPN;GEN;MASC,n;nt;pl;def - n;nt;pl;def;compound-R,n;nt;sg;def;gen - n;nt;sg;def;gen;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
släktet,släkt,1_8,N;DEF;NOM;SG,1_1,N;INDF;NOM;SG,n;nt;sg;def - n;nt;sg;def;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;nt;sg;ind - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pst;ut;sg;ind - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR
rannsakar,rannsaken,2_9,V;ACT;IND;PRS,2_14,N;DEF;SG,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
bygg,bygga,0_2,V;ACT;NFIN;COMPOUND,0_0,V;ACT;NFIN,verb;imp - verb;inf;actv;cmp;compound-only-L,verb;inf;actv,C
förbidan,förbidade,2_2,N;INDF;NOM;SG;COMPOUND,2_11,ADJ;DEF;PL,n;ut;sg;ind - n;ut;sg;def - n;ut;sg;ind;compound-R - n;ut;sg;def;compound-R,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,POS_PAIR_ERROR;SRC_SLOT_ERROR
betänkt,betänken,0_10,ADJ;INDF;NEUT;SG,0_6,ADJ;INDF;MASC+FEM;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
förbunds,förbundets,1_2,N;INDF;GEN;PL,1_9,PROPN;GEN;MASC,n;nt;sg;ind;gen - n;nt;pl;ind;gen - n;nt;sg;ind;gen;compound-R - n;nt;pl;ind;gen;compound-R - n;nt;sg;ind;cmp;compound-only-L,n;nt;sg;def;gen - adj;pp;nt;sg;ind;gen - adj;sint;pst;nt;sg;ind;gen - n;nt;sg;def;gen;compound-R,ERR_SRC_SLOT_ERROR
vägd,väga,0_5,V.PTCP;PST,0_0,V;ACT;NFIN,adj;pp;ut;sg;ind,verb;imp - verb;inf;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
mura,mur,2_12,V;IMP,2_2,N;INDF;NOM;SG;COMPOUND,verb;imp - verb;inf;actv,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
avskilda,avskild,0_0,V;ACT;NFIN,0_2,V;ACT;NFIN;COMPOUND,adj;pp;pl;ind - adj;pp;pl;def - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def - adj;pp;fn;sg;def,adj;sint;pst;ut;sg;ind - adj;pp;ut;sg;ind,SRC_SLOT_ERROR;TGT_SLOT_ERROR
hänt,hända,0_10,ADJ;INDF;NEUT;SG,0_0,V;ACT;NFIN,verb;supn;actv,verb;inf;actv,ERR_SRC_SLOT_ERROR
tyngde,tyngda,0_1,V;ACT;IND;PST,0_0,V;ACT;NFIN,verb;past;actv - adj;pp;m;sg;def,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,ERR_SRC_SLOT_ERROR
dragit,dragna,0_14,PRN;NEUT;SG,0_0,V;ACT;NFIN,verb;supn;actv,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,ERR_SRC_SLOT_ERROR
Människosonens,Människoson,1_6,N;DEF;GEN;SG,1_1,N;INDF;NOM;SG,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
fostrad,fostrar,2_3,PRN,2_9,V;ACT;IND;PRS,adj;pp;ut;sg;ind,verb;pres;actv - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
räddat,räddare,2_5,V.CVB;ACT,2_1,N;INDF;NOM;PL,verb;supn;actv - adj;pp;nt;sg;ind,n;ut;sg;ind - n;ut;sg;ind;compound-R - adj;sint;comp;un;sp - n;ut;pl;ind - n;ut;pl;ind;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
an,anda,0_2,V;ACT;NFIN;COMPOUND,0_0,V;ACT;NFIN,adv;,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
fresten,frestas,2_14,N;DEF;SG,2_7,V;PASS;NFIN,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
Jefunnes,Jefunne,1_2,N;INDF;GEN;PL,1_1,N;INDF;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Tekoa,Tekoas,0_0,V;ACT;NFIN,0_11,ADJ;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
inbärgade,inbärgen,2_11,ADJ;DEF;PL,2_14,N;DEF;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
bar,bar,0_2,V;ACT;NFIN;COMPOUND,0_2,V;ACT;NFIN;COMPOUND,n;ut;sg;ind - n;ut;pl;ind - verb;past;actv - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - adj;sint;pst;ut;sg;ind,n;ut;sg;ind - n;ut;pl;ind - verb;past;actv - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - adj;sint;pst;ut;sg;ind,SRC_SLOT_ERROR;TGT_SLOT_ERROR
blottar,blottas,2_9,V;ACT;IND;PRS,2_7,V;PASS;NFIN,verb;pres;actv - n;ut;sg;ind;cmp;compound-only-L,adj;pst;un;pl;ind;gen - adj;pst;un;pl;def;gen - adj;pst;fn;sg;def;gen - n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - verb;inf;pasv - verb;pres;pasv,ERR_SRC_SLOT_ERROR
glädje,glädjens,1_1,N;INDF;NOM;SG,1_6,N;DEF;GEN;SG,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
fattat,fattades,2_5,V.CVB;ACT,2_10,V;PASS;IND;PST,verb;supn;actv - adj;pst;nt;sg;ind,verb;past;pasv - adj;pst;un;pl;ind;gen - adj;pst;un;pl;def;gen - adj;pst;m;sg;def;gen - adj;pst;fn;sg;def;gen - verb;past;pasv,MAPPED_POS_PAIR_ERROR
behövas,behöva,0_11,ADJ;INDF;GEN;PL,0_0,V;ACT;NFIN,verb;inf;pasv - verb;inf;pasv,verb;inf;actv,ERR_SRC_SLOT_ERROR
vaktar,vaktade,2_9,V;ACT;IND;PRS,2_11,ADJ;DEF;PL,verb;pres;actv,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,ERR_SRC_SLOT_ERROR
visad,vise,2_3,PRN,2_15,ADJ;DEF;MASC;SG,adj;pp;ut;sg;ind,n;ut;sg;ind - n;ut;sg;ind;compound-R - adj;sint;pst;m;sg;def - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR
visat,visan,2_5,V.CVB;ACT,2_2,N;INDF;NOM;SG;COMPOUND,verb;supn;actv - adj;pp;nt;sg;ind,n;ut;sg;def - n;ut;sg;def;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
gud,gudarna,1_1,N;INDF;NOM;SG,1_4,N;DEF;NOM;PL,ij; - n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;def - n;ut;pl;def;compound-R,C
etiopier,etiopier,1_0,N;INDF;PL,1_0,N;INDF;PL,n;ut;sg;ind - n;ut;pl;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;pl;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,SRC_SLOT_ERROR;TGT_SLOT_ERROR
hästar,hästens,1_0,N;INDF;PL,1_6,N;DEF;GEN;SG,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
lejonens,lejonen,1_6,N;DEF;GEN;SG,1_7,DET;SG,n;nt;pl;def;gen - n;nt;pl;def;gen;compound-R,n;nt;pl;def - n;nt;pl;def;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
tvingat,tvingade,2_5,V.CVB;ACT,2_11,ADJ;DEF;PL,verb;supn;actv - adj;pp;nt;sg;ind,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,ERR_SRC_SLOT_ERROR
släpet,släpas,2_4,PRN;NOM;NEUT;SG,2_7,V;PASS;NFIN,n;nt;sg;def - n;nt;sg;def;compound-R,verb;inf;pasv - verb;pres;pasv,ERR_TGT_SLOT_ERROR
mur,murare,2_2,N;INDF;NOM;SG;COMPOUND,2_1,N;INDF;NOM;PL,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind - n;ut;pl;ind;compound-R,ERR_SRC_SLOT_ERROR
bevisning,bevisa,2_0,PRN;SG,2_12,V;IMP,n;ut;sg;ind - n;ut;sg;ind;compound-R,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
efterföljd,efterföljde,0_5,V.PTCP;PST,0_1,V;ACT;IND;PST,n;ut;sg;ind - n;ut;sg;ind;compound-R - adj;pp;ut;sg;ind,verb;past;actv - adj;pp;m;sg;def,ERR_TGT_SLOT_ERROR
Salmona,Salmone,0_0,V;ACT;NFIN,0_5,V.PTCP;PST,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
upprättar,upprättad,2_9,V;ACT;IND;PRS,2_3,PRN,verb;pres;actv,adj;pp;ut;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
lovade,loven,2_11,ADJ;DEF;PL,2_14,N;DEF;SG,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,n;nt;pl;def - n;ut;sg;def - n;ut;sg;def - n;ut;sg;def;compound-R - n;ut;sg;def;compound-R,POS_PAIR_ERROR;TGT_SLOT_ERROR
stäng,stänger,0_2,V;ACT;NFIN;COMPOUND,0_8,V.CVB,verb;imp - verb;inf;actv;cmp;compound-only-L,n;ut;pl;ind - verb;pres;actv - n;ut;pl;ind;compound-R,TGT_SLOT_ERROR
tänkt,tänke,0_10,ADJ;INDF;NEUT;SG,0_5,V.PTCP;PST,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
ödelagd,ödelagda,0_2,V;ACT;NFIN;COMPOUND,0_0,V;ACT;NFIN,adj;pp;ut;sg;ind,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,ERR_SRC_SLOT_ERROR
sjönko,sjönk,0_15,ADJ;INDF;NOM;PL,0_2,V;ACT;NFIN;COMPOUND,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
murar,murarna,2_9,V;ACT;IND;PRS,2_13,PROPN;MASC,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;def - n;ut;pl;def;compound-R - n;ut;pl;def - n;ut;pl;def;compound-R,TGT_SLOT_ERROR
köp,köpen,0_2,V;ACT;NFIN;COMPOUND,0_6,ADJ;INDF;MASC+FEM;SG,verb;imp - n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,n;nt;pl;def - n;nt;pl;def;compound-R,ERR_TGT_SLOT_ERROR
lägret,lägra,2_4,PRN;NOM;NEUT;SG,2_12,V;IMP,n;nt;sg;def - n;nt;sg;def;compound-R,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,ERR_TGT_SLOT_ERROR
upptänden,upptänd,0_6,ADJ;INDF;MASC+FEM;SG,0_2,V;ACT;NFIN;COMPOUND,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
präktigare,präktiga,0_12,V.CVB;COMPV,0_0,V;ACT;NFIN,adj;sint;comp;un;sp,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
förkunnat,förkunnas,2_5,V.CVB;ACT,2_7,V;PASS;NFIN,verb;supn;actv - adj;pp;nt;sg;ind,verb;inf;pasv - verb;pres;pasv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
göras,gör,0_11,ADJ;INDF;GEN;PL,0_2,V;ACT;NFIN;COMPOUND,n;nt;sg;ind;gen - n;nt;sg;ind;gen;compound-R - verb;inf;pasv - n;nt;sg;ind;cmp;compound-only-L,verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,SRC_SLOT_ERROR
berget,bergets,1_8,N;DEF;NOM;SG,1_9,PROPN;GEN;MASC,n;nt;sg;def - n;nt;sg;def;compound-R,n;nt;sg;def;gen - n;nt;sg;def;gen;compound-R,ERR_TGT_SLOT_ERROR
dömt,dömes,0_10,ADJ;INDF;NEUT;SG,0_3,V;PASS;IND;PRS,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
fastnat,fastnade,2_5,V.CVB;ACT,2_11,ADJ;DEF;PL,verb;supn;actv,verb;past;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
skuldoffersvädur,skuldoffersväduren,1_1,N;INDF;NOM;SG,1_7,DET;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
starkhet,starka,0_7,PRN;INDF;GEN;PL,0_0,V;ACT;NFIN,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
anser,ansa,0_8,V.CVB,0_0,V;ACT;NFIN,verb;pres;actv,verb;imp - verb;inf;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
sönderbrutet,sönderbruten,1_8,N;DEF;NOM;SG,1_7,DET;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
året,år,1_8,N;DEF;NOM;SG,1_1,N;INDF;NOM;SG,n;nt;sg;def,n;nt;sg;ind - n;nt;pl;ind - n;ut;sg;ind;cmp - n;ut;sg;ind;cmp;compound-only-L,C
uttalar,uttalade,2_9,V;ACT;IND;PRS,2_11,ADJ;DEF;PL,verb;pres;actv,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
halta,halta,2_12,V;IMP,2_12,V;IMP,verb;imp - verb;inf;actv - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def - verb;inf;actv;cmp;compound-only-L,verb;imp - verb;inf;actv - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def - verb;inf;actv;cmp;compound-only-L,C
molnens,molnet,1_6,N;DEF;GEN;SG,1_8,N;DEF;NOM;SG,n;nt;pl;def;gen - n;nt;pl;def;gen;compound-R,n;nt;sg;def - n;nt;sg;def;compound-R,ERR_SRC_SLOT_ERROR
vänt,väns,0_10,ADJ;INDF;NEUT;SG,0_4,N;INDF;GEN;SG,verb;supn;actv - adj;sint;pst;nt;sg;ind - verb;inf;actv;cmp;compound-only-L - adj;pp;nt;sg;ind,n;ut;sg;ind;gen - adj;sint;pst;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,MAPPED_POS_PAIR_ERROR
ger,ger,0_2,V;ACT;NFIN;COMPOUND,0_2,V;ACT;NFIN;COMPOUND,verb;pres;actv,verb;pres;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
gudfruktiga,gudfruktigt,0_0,V;ACT;NFIN,0_10,ADJ;INDF;NEUT;SG,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,adj;sint;pst;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
skifte,skiftat,2_15,ADJ;DEF;MASC;SG,2_5,V.CVB;ACT,n;nt;sg;ind - n;nt;sg;ind;compound-R,verb;supn;actv - adj;pp;nt;sg;ind,ERR_TGT_SLOT_ERROR
Sebas,Seba,0_11,ADJ;INDF;GEN;PL,0_0,V;ACT;NFIN,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
gräte,gräten,0_5,V.PTCP;PST,0_6,ADJ;INDF;MASC+FEM;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
kallas,kallar,2_7,V;PASS;NFIN,2_9,V;ACT;IND;PRS,n;ut;sg;ind;gen - adj;sint;pst;un;pl;ind;gen - adj;sint;pst;un;pl;def;gen - adj;sint;pst;fn;sg;def;gen - n;ut;sg;ind;gen;compound-R - verb;inf;pasv - verb;pres;pasv,verb;pres;actv,ERR_TGT_SLOT_ERROR
var,var,0_2,V;ACT;NFIN;COMPOUND,0_2,V;ACT;NFIN;COMPOUND,verb;past;actv - adv; - verb;inf;actv;cmp;compound-only-L - n;nt;sg;ind - n;nt;sg;ind;compound-R - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;nt;sg;ind - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pst;ut;sg;ind - prn;def;ut;sg;nom - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,verb;past;actv - adv; - verb;inf;actv;cmp;compound-only-L - n;nt;sg;ind - n;nt;sg;ind;compound-R - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;nt;sg;ind - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pst;ut;sg;ind - prn;def;ut;sg;nom - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,C
förtär,förtärde,0_2,V;ACT;NFIN;COMPOUND,0_1,V;ACT;IND;PST,verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,verb;past;actv - adj;pp;m;sg;def,ERR_TGT_SLOT_ERROR
fångarna,fång,2_13,PROPN;MASC,2_2,N;INDF;NOM;SG;COMPOUND,n;ut;pl;def - n;ut;pl;def;compound-R,n;nt;sg;ind - n;nt;pl;ind - n;ut;sg;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;ut;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,SRC_SLOT_ERROR
skrämmes,skrämma,0_3,V;PASS;IND;PRS,0_0,V;ACT;NFIN,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
vimlar,vimla,2_9,V;ACT;IND;PRS,2_12,V;IMP,verb;pres;actv,verb;imp - verb;inf;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
anställa,anställda,0_0,V;ACT;NFIN,0_0,V;ACT;NFIN,verb;inf;actv,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,POS_PAIR_ERROR;TGT_SLOT_ERROR
väggen,vägg,1_7,DET;SG,1_1,N;INDF;NOM;SG,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Jispa,Jispan,0_0,V;ACT;NFIN,0_2,V;ACT;NFIN;COMPOUND,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
stöter,stöten,0_8,V.CVB,0_6,ADJ;INDF;MASC+FEM;SG,verb;pres;actv,n;ut;sg;def - n;ut;sg;def;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
stadgen,stadgan,2_14,N;DEF;SG,2_2,N;INDF;NOM;SG;COMPOUND,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
förrådde,förrådda,0_1,V;ACT;IND;PST,0_0,V;ACT;NFIN,verb;past;actv - adj;pp;m;sg;def,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,ERR_SRC_SLOT_ERROR
ärat,är,2_5,V.CVB;ACT,2_2,N;INDF;NOM;SG;COMPOUND,verb;supn;actv - adj;pp;nt;sg;ind - adj;pst;nt;sg;ind,verb;pres;actv - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR
utbytte,utbyter,0_1,V;ACT;IND;PST,0_8,V.CVB,verb;past;actv - adj;pp;m;sg;def - adj;pp;m;sg;def,verb;pres;actv,ERR_TGT_SLOT_ERROR
flyttades,flyttas,2_10,V;PASS;IND;PST,2_7,V;PASS;NFIN,verb;past;pasv - adj;pp;pl;ind;gen - adj;pp;pl;def;gen - adj;pp;m;sg;def;gen - adj;pp;fn;sg;def;gen,verb;inf;pasv - verb;pres;pasv,ERR_TGT_SLOT_ERROR
bortkastade,bortkastat,0_1,V;ACT;IND;PST,0_10,ADJ;INDF;NEUT;SG,adj;pp;pl;ind - adj;pp;pl;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,adj;pst;nt;sg;ind - adj;pp;nt;sg;ind,SRC_SLOT_ERROR
styggelser,styggelsen,1_0,N;INDF;PL,1_7,DET;SG,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
drag,drager,0_2,V;ACT;NFIN;COMPOUND,0_8,V.CVB,verb;imp - n;nt;sg;ind - n;nt;pl;ind - verb;inf;actv;cmp;compound-only-L - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,verb;pres;actv,ERR_TGT_SLOT_ERROR
hörande,hör,0_9,V.PTCP;PRS,0_2,V;ACT;NFIN;COMPOUND,adj;pprs - n;nt;sg;ind - n;nt;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR
vitare,vitt,0_12,V.CVB;COMPV,0_10,ADJ;INDF;NEUT;SG,adj;sint;comp;un;sp,adj;sint;pst;nt;sg;ind - adj;sint;pst;nt;sg;ind - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR
nitälsken,nitälskande,2_14,N;DEF;SG,2_8,ADJ;PRS,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
utkorade,utkoras,2_11,ADJ;DEF;PL,2_7,V;PASS;NFIN,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def,verb;inf;pasv - verb;pres;pasv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
sköld,sköld,1_1,N;INDF;NOM;SG,1_1,N;INDF;NOM;SG,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
axen,axens,1_7,DET;SG,1_6,N;DEF;GEN;SG,n;nt;pl;def,n;nt;pl;def;gen,SRC_SLOT_ERROR;TGT_SLOT_ERROR
uppfyllas,uppfyllen,0_11,ADJ;INDF;GEN;PL,0_6,ADJ;INDF;MASC+FEM;SG,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
intag,intagit,0_2,V;ACT;NFIN;COMPOUND,0_14,PRN;NEUT;SG,verb;imp - n;nt;sg;ind - n;nt;pl;ind - verb;inf;actv;cmp;compound-only-L - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R,verb;supn;actv,ERR_TGT_SLOT_ERROR
bevarade,bevarad,2_11,ADJ;DEF;PL,2_3,PRN,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,adj;pp;ut;sg;ind,ERR_TGT_SLOT_ERROR
gagn,gagnade,2_2,N;INDF;NOM;SG;COMPOUND,2_11,ADJ;DEF;PL,n;nt;sg;ind - n;nt;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,MAPPED_POS_PAIR_ERROR
kalv,kalv,2_2,N;INDF;NOM;SG;COMPOUND,2_2,N;INDF;NOM;SG;COMPOUND,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
rev,revo,0_2,V;ACT;NFIN;COMPOUND,0_15,ADJ;INDF;NOM;PL,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
slumrat,slumrar,2_5,V.CVB;ACT,2_9,V;ACT;IND;PRS,verb;supn;actv - adj;pp;nt;sg;ind,verb;pres;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
skattmästare,skattmästarna,0_5,V.PTCP;PST,0_0,V;ACT;NFIN,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;pl;def - n;ut;pl;def;compound-R,SRC_SLOT_ERROR;TGT_SLOT_ERROR
