src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
sýnst,sýn,0_12,V;IND;PRS;1;SG,0_14,V;IMP;2;SG,verb;midv;supn,verb;actv;imp;p2;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
jarðneskan,jarðnesk,1_3,ADJ;ACC;SG,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
neitað,neitar,1_8,V.CVB,1_9,ADJ;NOM;PL,verb;actv;supn,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,ERR_TGT_SLOT_ERROR
Mattata,Mattats,1_14,N;INDF;GEN;PL,1_13,PRN;INDF;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hrósaði,hrós,1_11,V;SBJV;PST;3;SG,1_0,N;INDF;ACC;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
Skyldu,Skyldi,1_17,N;INDF;GEN;SG,1_7,N;INDF;DAT;SG,verb;pss;p3;pl - adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,verb;pss;p1;sg - verb;pss;p3;sg - adj;pst;m;sg;nom;vei,SRC_SLOT_ERROR;TGT_SLOT_ERROR
Ert,Ers,1_0,N;INDF;ACC;SG,1_13,PRN;INDF;GEN;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
búin,bú,0_3,ADJ;ACC;PL,0_14,V;IMP;2;SG,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta - adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,verb;actv;imp;p2;sg,ERR_TGT_SLOT_ERROR
smíð,smíði,1_0,N;INDF;ACC;SG,1_7,N;INDF;DAT;SG,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
sakfella,sakfella,1_14,N;INDF;GEN;PL,1_14,N;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
flokkinn,flokk,1_5,N;DEF;ACC;SG,1_0,N;INDF;ACC;SG,n;m;sg;acc;ind - n;m;sg;acc;def,n;m;sg;acc;ind - n;m;sg;acc;def,C
prédikið,prédikað,1_15,V;IMP;2;PL,1_8,V.CVB,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
vond,vondur,1_0,N;INDF;ACC;SG,1_12,V.PTCP;PST;NOM;SG,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,adj;pst;m;sg;nom;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
afneitum,afneiti,1_2,N;INDF;DAT;PL,1_7,N;INDF;DAT;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
leitað,leiti,1_8,V.CVB,1_7,N;INDF;DAT;SG,verb;actv;supn - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
píslum,píslir,1_2,N;INDF;DAT;PL,1_4,V;IND;PST;2;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
játa,játar,1_14,N;INDF;GEN;PL,1_9,ADJ;NOM;PL,verb;actv;inf - verb;actv;pri;p1;sg - verb;actv;pri;p3;pl - verb;actv;imp;p2;sg,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
þjóð,þjóðum,1_0,N;INDF;ACC;SG,1_2,N;INDF;DAT;PL,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;pl;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
þrenging,þrengingar,1_0,N;INDF;ACC;SG,1_9,ADJ;NOM;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Heródesar,Heródes,1_9,ADJ;NOM;PL,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hanga,hangir,1_14,N;INDF;GEN;PL,1_4,V;IND;PST;2;SG,verb;actv;inf - verb;actv;pri;p3;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
beinar,beinir,1_9,ADJ;NOM;PL,1_4,V;IND;PST;2;SG,adj;pst;f;pl;nom;sta - adj;pst;f;pl;acc;sta,adj;pst;m;pl;nom;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
krossfesta,krossfest,1_14,N;INDF;GEN;PL,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
spotti,spottað,1_7,N;INDF;DAT;SG,1_8,V.CVB,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
varast,varir,0_11,V;IND;PRS;3;PL,0_8,V;SBJV;PRS;2;SG,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
steinum,steini,1_2,N;INDF;DAT;PL,1_7,N;INDF;DAT;SG,n;m;pl;dat;ind,n;m;sg;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
orðunum,orðs,1_1,N;DEF;DAT;PL,1_13,PRN;INDF;GEN;SG,n;nt;pl;dat;def,n;nt;sg;gen;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
uppfylla,uppfylli,0_20,V;NFIN,0_15,V;SBJV;PRS;3;PL,verb;actv;inf - verb;actv;pri;p3;pl,verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
safnaði,safna,1_11,V;SBJV;PST;3;SG,1_14,N;INDF;GEN;PL,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;f;sg;nom;vei,verb;actv;inf - n;nt;pl;gen;ind - verb;actv;pri;p1;sg - verb;actv;pri;p3;pl - verb;midv;imp;p2;sg,MAPPED_POS_PAIR_ERROR
sver,sverð,0_14,V;IMP;2;SG,0_18,N;INDF;NOM;SG,verb;actv;pri;p1;sg - verb;actv;pri;p3;sg - verb;actv;imp;p2;sg,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind - verb;actv;pri;p2;sg,ERR_SRC_SLOT_ERROR
gjöri,gjörir,0_15,V;SBJV;PRS;3;PL,0_8,V;SBJV;PRS;2;SG,verb;midv;inf - verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,verb;midv;inf - verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,C
orðinu,orð,1_10,V;SBJV;PST;2;PL,1_0,N;INDF;ACC;SG,n;nt;sg;dat;def,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,ERR_SRC_SLOT_ERROR
vegsamað,vegsamið,1_8,V.CVB,1_15,V;IMP;2;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
mælistikur,mælistiku,1_12,V.PTCP;PST;NOM;SG,1_17,N;INDF;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
fremur,fremja,0_16,V;IND;PRS;2;SG,0_6,PRN;INDF;ACC;PL,adv;comp - verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;inf - verb;actv;pri;p3;pl,ERR_TGT_SLOT_ERROR
munir,muntu,0_8,V;SBJV;PRS;2;SG,0_4,V;IND;PST;3;PL,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
spádóm,spádómur,1_0,N;INDF;ACC;SG,1_12,V.PTCP;PST;NOM;SG,n;m;sg;acc;def,n;m;sg;nom;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
hreykinn,hreykir,0_2,ADJ;NOM;SG,0_8,V;SBJV;PRS;2;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
illir,illa,1_4,V;IND;PST;2;SG,1_14,N;INDF;GEN;PL,adj;pst;m;pl;nom;sta,adv;pst - adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,ERR_SRC_SLOT_ERROR
hætti,hætt,1_7,N;INDF;DAT;SG,1_0,N;INDF;ACC;SG,verb;actv;inf - verb;actv;pri;p1;sg - verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - n;m;sg;dat;ind - n;m;pl;acc;ind - verb;actv;pp;m;sg;nom;vei,verb;actv;supn - verb;actv;imp;p2;sg - verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,TGT_SLOT_ERROR
hastar,hasta,1_9,ADJ;NOM;PL,1_14,N;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
stær,stær,0_14,V;IMP;2;SG,0_14,V;IMP;2;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
iðrast,iðrar,1_19,V;IND;PRS;3;SG,1_9,ADJ;NOM;PL,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
drýgið,drýgir,0_19,V;IND;PRS;2;PL,0_8,V;SBJV;PRS;2;SG,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
öruggir,örugga,1_4,V;IND;PST;2;SG,1_14,N;INDF;GEN;PL,adj;pst;m;pl;nom;sta,adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Kristur,Krist,1_12,V.PTCP;PST;NOM;SG,1_0,N;INDF;ACC;SG,np;al;m;sg;nom,np;al;m;sg;acc,SRC_POS_ERROR TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
hvíldardaginn,hvíldardag,1_5,N;DEF;ACC;SG,1_0,N;INDF;ACC;SG,n;m;sg;acc;def,n;m;sg;acc;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ósýrðum,ósýrðu,1_2,N;INDF;DAT;PL,1_17,N;INDF;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
læknast,læknaði,1_19,V;IND;PRS;3;SG,1_11,V;SBJV;PST;3;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
pant,pantur,1_0,N;INDF;ACC;SG,1_12,V.PTCP;PST;NOM;SG,n;m;sg;acc;ind,n;m;sg;nom;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
lokið,lokum,1_15,V;IMP;2;PL,1_2,N;INDF;DAT;PL,n;nt;sg;nom;def - n;nt;sg;acc;def - verb;actv;supn - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,n;nt;pl;dat;ind - n;f;pl;dat;ind,SRC_SLOT_ERROR
lagður,lagðir,1_12,V.PTCP;PST;NOM;SG,1_4,V;IND;PST;2;SG,verb;actv;pp;m;sg;nom;sta,verb;actv;past;p2;sg - verb;actv;pp;m;pl;nom;sta - verb;actv;pp;f;pl;nom;sta,MAPPED_POS_PAIR_ERROR
hálfu,hálft,1_17,N;INDF;GEN;SG,1_0,N;INDF;ACC;SG,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
skyldi,skylduð,1_7,N;INDF;DAT;SG,1_18,V;IND;PST;2;PL,verb;pss;p1;sg - verb;pss;p3;sg - adj;pst;m;sg;nom;vei,verb;pss;p2;pl,SRC_SLOT_ERROR;TGT_SLOT_ERROR
þolið,þoli,1_15,V;IMP;2;PL,1_7,N;INDF;DAT;SG,n;nt;sg;nom;def - n;nt;sg;acc;def - verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,n;nt;sg;dat;ind - verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,MAPPED_POS_PAIR_ERROR
fullnuð,fullnast,1_18,V;IND;PST;2;PL,1_19,V;IND;PRS;3;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
vegurinn,vegum,1_16,N;DEF;NOM;SG,1_2,N;INDF;DAT;PL,n;m;sg;nom;def,n;m;pl;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
hagi,hagað,1_7,N;INDF;DAT;SG,1_8,V.CVB,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
greið,greiðið,0_14,V;IMP;2;SG,0_19,V;IND;PRS;2;PL,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
situr,sitt,0_16,V;IND;PRS;2;SG,0_17,V.PTCP;PST;ACC;SG,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,prn;pos;nt;sg;nom - prn;pos;nt;sg;acc - det;pos;nt;sg;nom - det;pos;nt;sg;acc,ERR_SRC_SLOT_ERROR
prestar,presturinn,1_9,ADJ;NOM;PL,1_16,N;DEF;NOM;SG,n;m;pl;nom;ind,n;m;sg;nom;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
treyst,treysta,1_0,N;INDF;ACC;SG,1_14,N;INDF;GEN;PL,verb;actv;supn - verb;midv;supn - verb;actv;imp;p2;sg,verb;actv;inf - verb;actv;pri;p3;pl,ERR_TGT_SLOT_ERROR
el,elti,0_14,V;IMP;2;SG,0_0,V;IND;PST;3;SG,verb;actv;pri;p1;sg,verb;actv;pri;p1;sg - verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,ERR_SRC_SLOT_ERROR
villast,villu,0_11,V;IND;PRS;3;PL,0_10,V;SBJV;PST;3;PL,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
engils,engil,1_13,PRN;INDF;GEN;SG,1_0,N;INDF;ACC;SG,n;m;sg;gen;ind,n;m;sg;acc;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
hastaði,hastar,1_11,V;SBJV;PST;3;SG,1_9,ADJ;NOM;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ónýtast,ónýta,0_11,V;IND;PRS;3;PL,0_20,V;NFIN,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
elskuð,elsku,1_18,V;IND;PST;2;PL,1_17,N;INDF;GEN;SG,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,n;f;sg;acc;ind - n;f;sg;dat;ind - n;f;sg;gen;ind,ERR_SRC_SLOT_ERROR
kynslóðar,kynslóð,1_9,ADJ;NOM;PL,1_0,N;INDF;ACC;SG,n;f;sg;gen;ind,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Filippus,Filippusi,1_0,N;INDF;ACC;SG,1_7,N;INDF;DAT;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hjúpast,hjúp,1_19,V;IND;PRS;3;SG,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hirði,hirðar,1_7,N;INDF;DAT;SG,1_9,ADJ;NOM;PL,n;m;sg;acc;ind - n;m;sg;dat;ind,n;f;sg;gen;ind - n;m;pl;nom;ind,ERR_SRC_SLOT_ERROR
þjónið,þjón,1_15,V;IMP;2;PL,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
hvílík,hvílíkur,1_0,N;INDF;ACC;SG,1_12,V.PTCP;PST;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Margir,Margt,0_8,V;SBJV;PRS;2;SG,0_17,V.PTCP;PST;ACC;SG,adj;pst;m;pl;nom;sta,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
vatn,vatns,1_0,N;INDF;ACC;SG,1_13,PRN;INDF;GEN;SG,n;nt;sg;nom;ind - n;nt;sg;acc;ind,n;nt;sg;gen;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
talaði,talinn,1_11,V;SBJV;PST;3;SG,1_5,N;DEF;ACC;SG,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,verb;actv;pp;m;sg;nom;sta - verb;actv;pp;m;sg;acc;sta,ERR_TGT_SLOT_ERROR
þinn,þinni,1_0,N;INDF;ACC;SG,1_7,N;INDF;DAT;SG,prn;pos;m;sg;nom - prn;pos;m;sg;acc,prn;pos;f;sg;dat,SRC_POS_ERROR TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
kost,kostum,1_0,N;INDF;ACC;SG,1_2,N;INDF;DAT;PL,n;m;sg;acc;ind,verb;actv;pri;p1;pl - verb;actv;prs;p1;pl - n;m;pl;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
munt,munir,0_17,V.PTCP;PST;ACC;SG,0_8,V;SBJV;PRS;2;SG,verb;pri;p2;sg,verb;prs;p2;sg - verb;actv;prs;p2;sg - n;m;pl;nom;ind,SRC_SLOT_ERROR
byrjaði,byrjar,1_11,V;SBJV;PST;3;SG,1_9,ADJ;NOM;PL,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,ERR_TGT_SLOT_ERROR
bein,bein,1_0,N;INDF;ACC;SG,1_0,N;INDF;ACC;SG,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
veginn,vega,1_5,N;DEF;ACC;SG,1_14,N;INDF;GEN;PL,n;m;sg;acc;def,n;m;pl;gen;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
dagar,dags,1_9,ADJ;NOM;PL,1_13,PRN;INDF;GEN;SG,n;m;pl;nom;ind,n;m;sg;gen;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
þrjóta,þrjóti,1_14,N;INDF;GEN;PL,1_7,N;INDF;DAT;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
prestur,prestar,1_12,V.PTCP;PST;NOM;SG,1_9,ADJ;NOM;PL,n;m;sg;nom;ind,n;m;pl;nom;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
gagna,gagni,1_14,N;INDF;GEN;PL,1_7,N;INDF;DAT;SG,n;nt;pl;gen;ind,n;nt;sg;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
leitast,leitt,1_19,V;IND;PRS;3;SG,1_0,N;INDF;ACC;SG,verb;midv;inf - verb;midv;supn - verb;midv;pri;p1;sg - verb;midv;pri;p2;sg - verb;midv;pri;p3;sg - verb;midv;pri;p3;pl,verb;actv;supn - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,PARADIGM_ERROR;TGT_SLOT_ERROR
helgu,helgur,1_17,N;INDF;GEN;SG,1_12,V.PTCP;PST;NOM;SG,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;gen;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;m;sg;nom;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
þorpa,þorpi,1_14,N;INDF;GEN;PL,1_7,N;INDF;DAT;SG,n;nt;pl;gen;ind,n;nt;sg;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
fórnfæra,fórnfært,0_20,V;NFIN,0_17,V.PTCP;PST;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hrópa,hrópaði,1_14,N;INDF;GEN;PL,1_11,V;SBJV;PST;3;SG,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
fórn,fórna,0_9,PRN;INDF;ACC;SG,0_21,V.PTCP;PST;GEN;SG,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;pl;gen;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
bjart,bjartur,1_0,N;INDF;ACC;SG,1_12,V.PTCP;PST;NOM;SG,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,adj;pst;m;sg;nom;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kyrru,kyrrt,1_17,N;INDF;GEN;SG,1_0,N;INDF;ACC;SG,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
dýrmætan,dýrmæta,1_3,ADJ;ACC;SG,1_14,N;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
munir,munu,0_8,V;SBJV;PRS;2;SG,0_10,V;SBJV;PST;3;PL,verb;prs;p2;sg - verb;actv;prs;p2;sg - n;m;pl;nom;ind,verb;inf - verb;pri;p3;pl,TGT_SLOT_ERROR
lítilsvirða,lítilsvirðir,1_14,N;INDF;GEN;PL,1_4,V;IND;PST;2;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
fullnast,fullnuð,1_19,V;IND;PRS;3;SG,1_18,V;IND;PST;2;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
