src word,tgt word,src slot,src predicted,tgt slot,tgt predicted,annotation
decree,decrees,1_2,V;NFIN,1_0,V;3;SG;PRS,C
decree,decreed,1_2,V;NFIN,1_1,V;PST,C
rebukes,rebuked,1_0,V;3;SG;PRS,1_1,V;PST,C
rebukes,rebuke,1_0,V;3;SG;PRS,1_2,V;NFIN,C
rebukes,rebuking,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
rebuked,rebukes,1_1,V;PST,1_0,V;3;SG;PRS,C
rebuked,rebuke,1_1,V;PST,1_2,V;NFIN,C
rebuked,rebuking,1_1,V;PST,1_3,V;V.PTCP;PRS,C
rebuke,rebukes,1_2,V;NFIN,1_0,V;3;SG;PRS,C
rebuke,rebuked,1_2,V;NFIN,1_1,V;PST,C
rebuke,rebuking,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
rebuking,rebukes,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
rebuking,rebuked,1_3,V;V.PTCP;PRS,1_1,V;PST,C
rebuking,rebuke,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
overseers,overseer,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR
overseer,overseers,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR
decorated,decorate,1_1,V;PST,1_2,V;NFIN,C
decorate,decorated,1_2,V;NFIN,1_1,V;PST,C
times,time,1_0,V;3;SG;PRS,1_2,V;NFIN,C
time,times,1_2,V;NFIN,1_0,V;3;SG;PRS,C
divorces,divorced,1_0,V;3;SG;PRS,1_1,V;PST,C
divorces,divorce,1_0,V;3;SG;PRS,1_2,V;NFIN,C
divorced,divorces,1_1,V;PST,1_0,V;3;SG;PRS,C
divorced,divorce,1_1,V;PST,1_2,V;NFIN,C
divorce,divorces,1_2,V;NFIN,1_0,V;3;SG;PRS,C
divorce,divorced,1_2,V;NFIN,1_1,V;PST,C
interests,interest,1_0,V;3;SG;PRS,1_2,V;NFIN,C
interest,interests,1_2,V;NFIN,1_0,V;3;SG;PRS,C
injured,injuring,1_1,V;PST,1_3,V;V.PTCP;PRS,C
injured,injury,1_1,V;PST,1_6,ADJ,DERIVATIONAL_ERROR
injuring,injured,1_3,V;V.PTCP;PRS,1_1,V;PST,C
injuring,injury,1_3,V;V.PTCP;PRS,1_6,ADJ,DERIVATIONAL_ERROR
injury,injured,1_6,ADJ,1_1,V;PST,DERIVATIONAL_ERROR
injury,injuring,1_6,ADJ,1_3,V;V.PTCP;PRS,DERIVATIONAL_ERROR
refuted,refute,1_1,V;PST,1_2,V;NFIN,C
refute,refuted,1_2,V;NFIN,1_1,V;PST,C
bounds,bound,1_0,V;3;SG;PRS,1_2,V;NFIN,C
bound,bounds,1_2,V;NFIN,1_0,V;3;SG;PRS,C
exposed,expose,1_1,V;PST,1_2,V;NFIN,C
expose,exposed,1_2,V;NFIN,1_1,V;PST,C
perched,perch,1_1,V;PST,1_2,V;NFIN,C
perch,perched,1_2,V;NFIN,1_1,V;PST,C
excluded,exclude,1_1,V;PST,1_2,V;NFIN,C
exclude,excluded,1_2,V;NFIN,1_1,V;PST,C
careful,carefully,1_2,V;NFIN,1_4,?,DERIVATIONAL_ERROR
carefully,careful,1_4,?,1_2,V;NFIN,DERIVATIONAL_ERROR
enters,entered,1_0,V;3;SG;PRS,1_1,V;PST,C
enters,enter,1_0,V;3;SG;PRS,1_2,V;NFIN,C
enters,entering,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
entered,enters,1_1,V;PST,1_0,V;3;SG;PRS,C
entered,enter,1_1,V;PST,1_2,V;NFIN,C
entered,entering,1_1,V;PST,1_3,V;V.PTCP;PRS,C
enter,enters,1_2,V;NFIN,1_0,V;3;SG;PRS,C
enter,entered,1_2,V;NFIN,1_1,V;PST,C
enter,entering,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
entering,enters,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
entering,entered,1_3,V;V.PTCP;PRS,1_1,V;PST,C
entering,enter,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
kissed,kiss,1_1,V;PST,1_2,V;NFIN,C
kissed,kissing,1_1,V;PST,1_3,V;V.PTCP;PRS,C
kiss,kissed,1_2,V;NFIN,1_1,V;PST,C
kiss,kissing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
kissing,kissed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
kissing,kiss,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
obtained,obtain,1_1,V;PST,1_2,V;NFIN,C
obtained,obtaining,1_1,V;PST,1_3,V;V.PTCP;PRS,C
obtain,obtained,1_2,V;NFIN,1_1,V;PST,C
obtain,obtaining,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
obtaining,obtained,1_3,V;V.PTCP;PRS,1_1,V;PST,C
obtaining,obtain,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
have,having,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
having,have,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
mats,mat,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
mat,mats,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
amounts,amount,1_0,V;3;SG;PRS,1_2,V;NFIN,C
amount,amounts,1_2,V;NFIN,1_0,V;3;SG;PRS,C
sailed,sail,1_1,V;PST,1_2,V;NFIN,C
sailed,sailing,1_1,V;PST,1_3,V;V.PTCP;PRS,C
sail,sailed,1_2,V;NFIN,1_1,V;PST,C
sail,sailing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
sailing,sailed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
sailing,sail,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
neglected,neglect,1_1,V;PST,1_2,V;NFIN,C
neglected,neglecting,1_1,V;PST,1_3,V;V.PTCP;PRS,C
neglect,neglected,1_2,V;NFIN,1_1,V;PST,C
neglect,neglecting,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
neglecting,neglected,1_3,V;V.PTCP;PRS,1_1,V;PST,C
neglecting,neglect,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
clear,clearly,1_2,V;NFIN,1_4,?,PARADIGM_ERROR
clearly,clear,1_4,?,1_2,V;NFIN,PARADIGM_ERROR
dreams,dream,1_0,V;3;SG;PRS,1_2,V;NFIN,C
dream,dreams,1_2,V;NFIN,1_0,V;3;SG;PRS,C
seasons,seasoned,1_0,V;3;SG;PRS,1_1,V;PST,C
seasons,season,1_0,V;3;SG;PRS,1_2,V;NFIN,C
seasoned,seasons,1_1,V;PST,1_0,V;3;SG;PRS,C
seasoned,season,1_1,V;PST,1_2,V;NFIN,C
season,seasons,1_2,V;NFIN,1_0,V;3;SG;PRS,C
season,seasoned,1_2,V;NFIN,1_1,V;PST,C
boasts,boasted,1_0,V;3;SG;PRS,1_1,V;PST,C
boasts,boast,1_0,V;3;SG;PRS,1_2,V;NFIN,C
boasts,boasting,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
boasted,boasts,1_1,V;PST,1_0,V;3;SG;PRS,C
boasted,boast,1_1,V;PST,1_2,V;NFIN,C
boasted,boasting,1_1,V;PST,1_3,V;V.PTCP;PRS,C
boast,boasts,1_2,V;NFIN,1_0,V;3;SG;PRS,C
boast,boasted,1_2,V;NFIN,1_1,V;PST,C
boast,boasting,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
boasting,boasts,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
boasting,boasted,1_3,V;V.PTCP;PRS,1_1,V;PST,C
boasting,boast,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
summoned,summoning,1_1,V;PST,1_3,V;V.PTCP;PRS,C
summoning,summoned,1_3,V;V.PTCP;PRS,1_1,V;PST,C
true,truly,1_2,V;NFIN,1_4,?,PARADIGM_ERROR
truly,true,1_4,?,1_2,V;NFIN,PARADIGM_ERROR
levites,levite,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
levite,levites,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
ministers,minister,1_0,V;3;SG;PRS,1_2,V;NFIN,C
minister,ministers,1_2,V;NFIN,1_0,V;3;SG;PRS,C
kilograms,kilogram,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
kilogram,kilograms,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
overtakes,overtake,1_0,V;3;SG;PRS,1_2,V;NFIN,C
overtake,overtakes,1_2,V;NFIN,1_0,V;3;SG;PRS,C
attendants,attendant,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
attendant,attendants,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
discriminated,discriminate,1_1,V;PST,1_2,V;NFIN,C
discriminate,discriminated,1_2,V;NFIN,1_1,V;PST,C
brings,bring,1_0,V;3;SG;PRS,1_2,V;NFIN,C
brings,bringing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
bring,brings,1_2,V;NFIN,1_0,V;3;SG;PRS,C
bring,bringing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
bringing,brings,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
bringing,bring,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
recalled,recall,1_1,V;PST,1_2,V;NFIN,C
recalled,recalling,1_1,V;PST,1_3,V;V.PTCP;PRS,C
recall,recalled,1_2,V;NFIN,1_1,V;PST,C
recall,recalling,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
recalling,recalled,1_3,V;V.PTCP;PRS,1_1,V;PST,C
recalling,recall,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
thousands,thousand,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
thousand,thousands,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
displays,displayed,1_0,V;3;SG;PRS,1_1,V;PST,C
displays,display,1_0,V;3;SG;PRS,1_2,V;NFIN,C
displayed,displays,1_1,V;PST,1_0,V;3;SG;PRS,C
displayed,display,1_1,V;PST,1_2,V;NFIN,C
display,displays,1_2,V;NFIN,1_0,V;3;SG;PRS,C
display,displayed,1_2,V;NFIN,1_1,V;PST,C
sisters,sister,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
sister,sisters,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
necks,necked,1_0,V;3;SG;PRS,1_1,V;PST,C
necks,neck,1_0,V;3;SG;PRS,1_2,V;NFIN,C
necked,necks,1_1,V;PST,1_0,V;3;SG;PRS,C
necked,neck,1_1,V;PST,1_2,V;NFIN,C
neck,necks,1_2,V;NFIN,1_0,V;3;SG;PRS,C
neck,necked,1_2,V;NFIN,1_1,V;PST,C
takes,take,1_0,V;3;SG;PRS,1_2,V;NFIN,C
take,takes,1_2,V;NFIN,1_0,V;3;SG;PRS,C
clothes,cloths,1_0,V;3;SG;PRS,1_0,V;3;SG;PRS,PARADIGM_ERROR
cloths,clothes,1_0,V;3;SG;PRS,1_0,V;3;SG;PRS,PARADIGM_ERROR
clothes,clothed,1_0,V;3;SG;PRS,1_1,V;PST,C
cloths,clothed,1_0,V;3;SG;PRS,1_1,V;PST,POS_ERROR
clothes,cloth,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
clothes,clothe,1_0,V;3;SG;PRS,1_2,V;NFIN,C
cloths,cloth,1_0,V;3;SG;PRS,1_2,V;NFIN,C
cloths,clothe,1_0,V;3;SG;PRS,1_2,V;NFIN,POS_ERROR
clothes,clothing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
cloths,clothing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,PARADIGM_ERROR
clothed,clothes,1_1,V;PST,1_0,V;3;SG;PRS,C
clothed,cloths,1_1,V;PST,1_0,V;3;SG;PRS,POS_ERROR
clothed,cloth,1_1,V;PST,1_2,V;NFIN,POS_ERROR
clothed,clothe,1_1,V;PST,1_2,V;NFIN,C
clothed,clothing,1_1,V;PST,1_3,V;V.PTCP;PRS,C
cloth,clothes,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
cloth,cloths,1_2,V;NFIN,1_0,V;3;SG;PRS,DERIVATIONAL_ERROR
clothe,clothes,1_2,V;NFIN,1_0,V;3;SG;PRS,C
clothe,cloths,1_2,V;NFIN,1_0,V;3;SG;PRS,POS_ERROR
cloth,clothed,1_2,V;NFIN,1_1,V;PST,POS_ERROR
clothe,clothed,1_2,V;NFIN,1_1,V;PST,C
cloth,clothe,1_2,V;NFIN,1_2,V;NFIN,POS_ERROR
clothe,cloth,1_2,V;NFIN,1_2,V;NFIN,POS_ERROR
cloth,clothing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,PARADIGM_ERROR
clothe,clothing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
clothing,clothes,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
clothing,cloths,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,PARADIGM_ERROR
clothing,clothed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
clothing,cloth,1_3,V;V.PTCP;PRS,1_2,V;NFIN,PARADIGM_ERROR
clothing,clothe,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
waves,wave,1_0,V;3;SG;PRS,1_2,V;NFIN,C
wave,waves,1_2,V;NFIN,1_0,V;3;SG;PRS,C
subjects,subjected,1_0,V;3;SG;PRS,1_1,V;PST,C
subjects,subject,1_0,V;3;SG;PRS,1_2,V;NFIN,C
subjects,subjecting,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
subjected,subjects,1_1,V;PST,1_0,V;3;SG;PRS,C
subjected,subject,1_1,V;PST,1_2,V;NFIN,C
subjected,subjecting,1_1,V;PST,1_3,V;V.PTCP;PRS,C
subject,subjects,1_2,V;NFIN,1_0,V;3;SG;PRS,C
subject,subjected,1_2,V;NFIN,1_1,V;PST,C
subject,subjecting,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
subjecting,subjects,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
subjecting,subjected,1_3,V;V.PTCP;PRS,1_1,V;PST,C
subjecting,subject,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
blinded,blind,1_1,V;PST,1_2,V;NFIN,C
blind,blinded,1_2,V;NFIN,1_1,V;PST,C
consumed,consume,1_1,V;PST,1_2,V;NFIN,C
consumed,consuming,1_1,V;PST,1_3,V;V.PTCP;PRS,C
consume,consumed,1_2,V;NFIN,1_1,V;PST,C
consume,consuming,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
consuming,consumed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
consuming,consume,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
eats,eat,1_0,V;3;SG;PRS,1_2,V;NFIN,C
eats,eating,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
eat,eats,1_2,V;NFIN,1_0,V;3;SG;PRS,C
eat,eating,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
eating,eats,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
eating,eat,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
meets,meet,1_0,V;3;SG;PRS,1_2,V;NFIN,C
meets,meeting,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
meet,meets,1_2,V;NFIN,1_0,V;3;SG;PRS,C
meet,meeting,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
meeting,meets,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
meeting,meet,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
suppose,supposing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
supposing,suppose,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
promotes,promote,1_0,V;3;SG;PRS,1_2,V;NFIN,C
promote,promotes,1_2,V;NFIN,1_0,V;3;SG;PRS,C
prays,prayed,1_0,V;3;SG;PRS,1_1,V;PST,C
prays,pray,1_0,V;3;SG;PRS,1_2,V;NFIN,C
prays,praying,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
prays,prayer,1_0,V;3;SG;PRS,1_5,N;SG,POS_ERROR
prayed,prays,1_1,V;PST,1_0,V;3;SG;PRS,C
prayed,pray,1_1,V;PST,1_2,V;NFIN,C
prayed,praying,1_1,V;PST,1_3,V;V.PTCP;PRS,C
prayed,prayer,1_1,V;PST,1_5,N;SG,POS_ERROR
pray,prays,1_2,V;NFIN,1_0,V;3;SG;PRS,C
pray,prayed,1_2,V;NFIN,1_1,V;PST,C
pray,praying,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
pray,prayer,1_2,V;NFIN,1_5,N;SG,POS_ERROR
praying,prays,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
praying,prayed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
praying,pray,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
praying,prayer,1_3,V;V.PTCP;PRS,1_5,N;SG,POS_ERROR
prayer,prays,1_5,N;SG,1_0,V;3;SG;PRS,POS_ERROR
prayer,prayed,1_5,N;SG,1_1,V;PST,POS_ERROR
prayer,pray,1_5,N;SG,1_2,V;NFIN,POS_ERROR
prayer,praying,1_5,N;SG,1_3,V;V.PTCP;PRS,POS_ERROR
due,duly,1_2,V;NFIN,1_4,?,PARADIGM_ERROR
duly,due,1_4,?,1_2,V;NFIN,PARADIGM_ERROR
thorns,thorn,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
thorn,thorns,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
baskets,basket,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
basket,baskets,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
springs,spring,1_0,V;3;SG;PRS,1_2,V;NFIN,C
spring,springs,1_2,V;NFIN,1_0,V;3;SG;PRS,C
fields,field,1_0,V;3;SG;PRS,1_2,V;NFIN,C
field,fields,1_2,V;NFIN,1_0,V;3;SG;PRS,C
woes,woe,1_0,V;3;SG;PRS,1_2,V;NFIN,C
woe,woes,1_2,V;NFIN,1_0,V;3;SG;PRS,C
flogged,flogging,1_1,V;PST,1_3,V;V.PTCP;PRS,C
flogging,flogged,1_3,V;V.PTCP;PRS,1_1,V;PST,C
rejects,rejected,1_0,V;3;SG;PRS,1_1,V;PST,C
rejects,reject,1_0,V;3;SG;PRS,1_2,V;NFIN,C
rejected,rejects,1_1,V;PST,1_0,V;3;SG;PRS,C
rejected,reject,1_1,V;PST,1_2,V;NFIN,C
reject,rejects,1_2,V;NFIN,1_0,V;3;SG;PRS,C
reject,rejected,1_2,V;NFIN,1_1,V;PST,C
heads,head,1_0,V;3;SG;PRS,1_2,V;NFIN,C
heads,heading,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
head,heads,1_2,V;NFIN,1_0,V;3;SG;PRS,C
head,heading,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
heading,heads,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
heading,head,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
blesses,blessed,1_0,V;3;SG;PRS,1_1,V;PST,C
blesses,bless,1_0,V;3;SG;PRS,1_2,V;NFIN,C
blesses,blessing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
blessed,blesses,1_1,V;PST,1_0,V;3;SG;PRS,C
blessed,bless,1_1,V;PST,1_2,V;NFIN,C
blessed,blessing,1_1,V;PST,1_3,V;V.PTCP;PRS,C
bless,blesses,1_2,V;NFIN,1_0,V;3;SG;PRS,C
bless,blessed,1_2,V;NFIN,1_1,V;PST,C
bless,blessing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
blessing,blesses,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
blessing,blessed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
blessing,bless,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
fled,fly,1_1,V;PST,1_6,ADJ,PARADIGM_ERROR
fly,fled,1_6,ADJ,1_1,V;PST,PARADIGM_ERROR
branches,branch,1_0,V;3;SG;PRS,1_2,V;NFIN,C
branch,branches,1_2,V;NFIN,1_0,V;3;SG;PRS,C
claims,claimed,1_0,V;3;SG;PRS,1_1,V;PST,C
claims,claim,1_0,V;3;SG;PRS,1_2,V;NFIN,C
claims,claiming,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
claimed,claims,1_1,V;PST,1_0,V;3;SG;PRS,C
claimed,claim,1_1,V;PST,1_2,V;NFIN,C
claimed,claiming,1_1,V;PST,1_3,V;V.PTCP;PRS,C
claim,claims,1_2,V;NFIN,1_0,V;3;SG;PRS,C
claim,claimed,1_2,V;NFIN,1_1,V;PST,C
claim,claiming,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
claiming,claims,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
claiming,claimed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
claiming,claim,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
drives,drive,1_0,V;3;SG;PRS,1_2,V;NFIN,C
drives,driving,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
drive,drives,1_2,V;NFIN,1_0,V;3;SG;PRS,C
drive,driving,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
driving,drives,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
driving,drive,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
hymns,hymn,1_0,V;3;SG;PRS,1_2,V;NFIN,C
hymn,hymns,1_2,V;NFIN,1_0,V;3;SG;PRS,C
dawns,dawned,1_0,V;3;SG;PRS,1_1,V;PST,C
dawns,dawn,1_0,V;3;SG;PRS,1_2,V;NFIN,C
dawned,dawns,1_1,V;PST,1_0,V;3;SG;PRS,C
dawned,dawn,1_1,V;PST,1_2,V;NFIN,C
dawn,dawns,1_2,V;NFIN,1_0,V;3;SG;PRS,C
dawn,dawned,1_2,V;NFIN,1_1,V;PST,C
revealed,reveal,1_1,V;PST,1_2,V;NFIN,C
reveal,revealed,1_2,V;NFIN,1_1,V;PST,C
caves,cave,1_0,V;3;SG;PRS,1_2,V;NFIN,C
cave,caves,1_2,V;NFIN,1_0,V;3;SG;PRS,C
longs,longed,1_0,V;3;SG;PRS,1_1,V;PST,C
longs,long,1_0,V;3;SG;PRS,1_2,V;NFIN,C
longs,longing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
longs,longer,1_0,V;3;SG;PRS,1_5,N;SG,DERIVATIONAL_ERROR
longed,longs,1_1,V;PST,1_0,V;3;SG;PRS,C
longed,long,1_1,V;PST,1_2,V;NFIN,C
longed,longing,1_1,V;PST,1_3,V;V.PTCP;PRS,C
longed,longer,1_1,V;PST,1_5,N;SG,DERIVATIONAL_ERROR
long,longs,1_2,V;NFIN,1_0,V;3;SG;PRS,C
long,longed,1_2,V;NFIN,1_1,V;PST,C
long,longing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
long,longer,1_2,V;NFIN,1_5,N;SG,DERIVATIONAL_ERROR
longing,longs,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
longing,longed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
longing,long,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
longing,longer,1_3,V;V.PTCP;PRS,1_5,N;SG,DERIVATIONAL_ERROR
longer,longs,1_5,N;SG,1_0,V;3;SG;PRS,C
longer,longed,1_5,N;SG,1_1,V;PST,DERIVATIONAL_ERROR
longer,long,1_5,N;SG,1_2,V;NFIN,DERIVATIONAL_ERROR
longer,longing,1_5,N;SG,1_3,V;V.PTCP;PRS,DERIVATIONAL_ERROR
dressed,dress,1_1,V;PST,1_2,V;NFIN,C
dressed,dressing,1_1,V;PST,1_3,V;V.PTCP;PRS,C
dress,dressed,1_2,V;NFIN,1_1,V;PST,C
dress,dressing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
dressing,dressed,1_3,V;V.PTCP;PRS,1_1,V;PST,C
dressing,dress,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
thrones,throne,1_0,V;3;SG;PRS,1_2,V;NFIN,C
throne,thrones,1_2,V;NFIN,1_0,V;3;SG;PRS,C
pleases,pleased,1_0,V;3;SG;PRS,1_1,V;PST,C
pleases,please,1_0,V;3;SG;PRS,1_2,V;NFIN,C
pleases,pleasing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
pleased,pleases,1_1,V;PST,1_0,V;3;SG;PRS,C
pleased,please,1_1,V;PST,1_2,V;NFIN,C
pleased,pleasing,1_1,V;PST,1_3,V;V.PTCP;PRS,C
please,pleases,1_2,V;NFIN,1_0,V;3;SG;PRS,C
please,pleased,1_2,V;NFIN,1_1,V;PST,C
please,pleasing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
pleasing,pleases,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
pleasing,pleased,1_3,V;V.PTCP;PRS,1_1,V;PST,C
pleasing,please,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
cases,case,1_0,V;3;SG;PRS,1_2,V;NFIN,C
case,cases,1_2,V;NFIN,1_0,V;3;SG;PRS,C
hard,hardly,1_2,V;NFIN,1_4,?,PARADIGM_ERROR
hard,harder,1_2,V;NFIN,1_5,N;SG,PARADIGM_ERROR
hardly,hard,1_4,?,1_2,V;NFIN,PARADIGM_ERROR
hardly,harder,1_4,?,1_5,N;SG,PARADIGM_ERROR
harder,hard,1_5,N;SG,1_2,V;NFIN,PARADIGM_ERROR
harder,hardly,1_5,N;SG,1_4,?,PARADIGM_ERROR
palaces,palace,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
palace,palaces,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
strain,straining,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
straining,strain,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
cups,cup,1_0,V;3;SG;PRS,1_2,V;NFIN,C
cup,cups,1_2,V;NFIN,1_0,V;3;SG;PRS,C
devours,devoured,1_0,V;3;SG;PRS,1_1,V;PST,C
devours,devour,1_0,V;3;SG;PRS,1_2,V;NFIN,C
devoured,devours,1_1,V;PST,1_0,V;3;SG;PRS,C
devoured,devour,1_1,V;PST,1_2,V;NFIN,C
devour,devours,1_2,V;NFIN,1_0,V;3;SG;PRS,C
devour,devoured,1_2,V;NFIN,1_1,V;PST,C
minas,mina,1_0,V;3;SG;PRS,1_2,V;NFIN,PARADIGM_ERROR
mina,minas,1_2,V;NFIN,1_0,V;3;SG;PRS,PARADIGM_ERROR
dares,dared,1_0,V;3;SG;PRS,1_1,V;PST,C
dares,dare,1_0,V;3;SG;PRS,1_2,V;NFIN,C
dared,dares,1_1,V;PST,1_0,V;3;SG;PRS,C
dared,dare,1_1,V;PST,1_2,V;NFIN,C
dare,dares,1_2,V;NFIN,1_0,V;3;SG;PRS,C
dare,dared,1_2,V;NFIN,1_1,V;PST,C
public,publicly,1_2,V;NFIN,1_4,?,PARADIGM_ERROR
publicly,public,1_4,?,1_2,V;NFIN,PARADIGM_ERROR
discerned,discern,1_1,V;PST,1_2,V;NFIN,C
discerned,discerning,1_1,V;PST,1_3,V;V.PTCP;PRS,C
discern,discerned,1_2,V;NFIN,1_1,V;PST,C
